state,facilities,facilities_with_violations,violation_rate,total_violations,health_violations,total_penalties,avg_penalty_per_facility,avg_violations_per_facility,enforcement_gap_score,serious_violators,high_severity_facilities,tri_facilities,tri_total_releases_lbs,water_systems,water_health_violations
NJ,8617,3380,0.3922,35896,4248,76038383.0,8824.23,4.1657,0.424,133,58,885,930373344.0,3469,4240
GU,42,22,0.5238,58,7,98652.0,2348.86,1.381,0.4124,0,0,0,0.0,9,7
MD,4262,1667,0.3911,9511,1778,20550394.0,4821.77,2.2316,0.3833,23,5,204,211521316.0,2009,1777
TX,14155,7069,0.4994,219921,45331,638935478.0,45138.5,15.5366,0.3367,302,129,950,9355305472.0,7858,45329
SC,2417,1158,0.4791,4428,1043,11370856.0,4704.53,1.832,0.3212,0,7,367,1399896620.0,994,1043
LA,8690,2478,0.2852,25571,17132,105283764.0,12115.51,2.9426,0.2244,137,65,235,6605928456.0,1487,17121
VI,268,117,0.4366,1153,320,5479263.0,20445.01,4.3022,0.2006,11,0,2,44753616.0,98,320
NV,1071,640,0.5976,12061,2223,67761075.0,63268.98,11.2614,0.1752,22,10,28,25853368.0,731,2223
GA,7040,2479,0.3521,22511,3406,125254000.0,17791.76,3.1976,0.1702,25,19,549,2495035348.0,2625,3406
AR,2802,1279,0.4565,14631,6855,92854606.0,33138.69,5.2216,0.153,1,9,284,1451939260.0,1012,6855
KY,3424,915,0.2672,7670,1852,60449840.0,17654.74,2.2401,0.1201,6,8,297,854881060.0,529,1852
ND,1090,327,0.3,2377,484,20441140.0,18753.34,2.1807,0.1104,2,1,26,13949592.0,510,484
DC,441,68,0.1542,81,0,487226.0,1104.82,0.1837,0.0873,1,0,1,3000.0,0,0
NM,2406,1193,0.4958,29315,10021,537345494.0,223335.62,12.1841,0.0543,113,58,34,85509296.0,1354,10021
PR,914,164,0.1794,201,0,6375266.0,6975.13,0.2199,0.0276,130,1,181,130450860.0,0,0
HI,354,125,0.3531,286,81,10997920.0,31067.57,0.8079,0.0252,0,1,26,27558048.0,61,81
CN,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
GE,12,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
MW,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
QC,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
