norm_name,raw_name,sources,source_count,ida_ny,ida_oh,nursing_home,charter_school,faith_hospital,oge_trade,fara,capitol_trade,water_epa,opioid,hrsa_340b,opioid_vendor,fara_principal,dol_whd,nih_exporter,osha,msha,cfpb,sam_gov,usaspending
AMERICAN VAN LINES,AMERICAN VAN LINES,dol_whd|sam_gov,2,,,,,,,,,,,,,,Y,,,,,Y,
AMERICAN VET SOLUTIONS,AMERICAN VET SOLUTIONS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN VETERAN ALLIANCE ASSOCIATES,AMERICAN VETERAN ALLIANCE ASSOCIATES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN VETERAN CONSTRUCTION,AMERICAN VETERAN CONSTRUCTION,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERICAN VETERAN CONTRACTING SOLUTIONS,AMERICAN VETERAN CONTRACTING SOLUTIONS,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERICAN VETERAN SOLUTIONS,AMERICAN VETERAN SOLUTIONS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN VETERANS SERVICES,AMERICAN VETERANS SERVICES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN WATER DEFENSE SERVICES,AMERICAN WATER DEFENSE SERVICES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICAN WEST LAUNDRY,AMERICAN WEST LAUNDRY,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERICAN WORK APPAREL AND ACCESSORIES,AMERICAN WORK APPAREL AND ACCESSORIES,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERICARE,AMERICARE,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERICASH,AMERICASH,cfpb|dol_whd,2,,,,,,,,,,,,,,Y,,,,Y,,
AMERICINN,AMERICINN,dol_whd|water_epa,2,,,,,,,,,Y,,,,,Y,,,,,,
AMERICINN LODGE AND SUITES,AMERICINN LODGE AND SUITES,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMERICLEAN JANITORIAL SERVICES,AMERICLEAN JANITORIAL SERVICES,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERICOLD,AMERICOLD,dol_whd|water_epa,2,,,,,,,,,Y,,,,,Y,,,,,,
AMERICOLLECT,AMERICOLLECT,cfpb|dol_whd,2,,,,,,,,,,,,,,Y,,,,Y,,
AMERIDIAL,AMERIDIAL,dol_whd|ida_oh,2,,Y,,,,,,,,,,,,Y,,,,,,
AMERIFAB INTERNATIONAL,AMERIFAB INTERNATIONAL,dol_whd|sam_gov,2,,,,,,,,,,,,,,Y,,,,,Y,
AMERIFEN SOLUTIONS,AMERIFEN SOLUTIONS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERIFIRST FINANCIAL,AMERIFIRST FINANCIAL,cfpb|dol_whd,2,,,,,,,,,,,,,,Y,,,,Y,,
AMERIFLEX,AMERIFLEX INC,sam_gov|water_epa,2,,,,,,,,,Y,,,,,,,,,,Y,
AMERIGUARD SECURITY SERVICES,AMERIGUARD SECURITY SERVICES,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERIINFOVETS,AMERIINFOVETS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERIPACK,AMERIPACK,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERIPRIDE SERVICES,AMERIPRIDE SERVICES,dol_whd|osha,2,,,,,,,,,,,,,,Y,,Y,,,,
AMERIPRISE FINANCIAL,Ameriprise Financial Inc,capitol_trade|dol_whd,2,,,,,,,,Y,,,,,,Y,,,,,,
AMERIQUAL GROUP,AMERIQUAL GROUP,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERIS BANCORP,Ameris Bancorp,capitol_trade|cfpb,2,,,,,,,,Y,,,,,,,,,,Y,,
AMERISAVE MORTGAGE,AMERISAVE MORTGAGE,cfpb|dol_whd,2,,,,,,,,,,,,,,Y,,,,Y,,
AMERISTAR MANUFACTURING,AMERISTAR MANUFACTURING,osha|usaspending,2,,,,,,,,,,,,,,,,Y,,,,Y
AMERITECH CONTRACTING,AMERITECH CONTRACTING,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERITEL COMMUNICATIONS,AMERITEL COMMUNICATIONS,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERITEMP,AMERITEMP,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
AMERIVET CONTRACTING,AMERIVET CONTRACTING,dol_whd|usaspending,2,,,,,,,,,,,,,,Y,,,,,,Y
AMERX HEALTH CARE,AMERX HEALTH CARE,sam_gov|usaspending,2,,,,,,,,,,,,,,,,,,,Y,Y
