facility_name,opcert,ccn,city,is_religious,match_type,confidence,parent_system,denomination,is_sole_county,total_discharges,ob_discharges,csection_count,PGN008_count,FRS005_count,FRS003_count,FRS001_count,PGN008_rate_per1k,FRS005_rate_per1k,FRS003_rate_per1k,FRS001_rate_per1k
Kenmore Mercy Hospital,1404000,330102,KENMORE,True,EXACT,MEDIUM,Catholic Health (Buffalo),CATHOLIC,False,12392,7,0,0,0,0,0,0.0,0.0,0.0,0.0
Kings County Hospital Center,7001016,,,False,,,,,,36371,3188,764,0,7,10,89,0.0,2.2,3.14,2.45
Lakeview Center for Mental Health and Wellness,3702000,,,False,,,,,,9722,828,258,0,5,0,76,0.0,6.04,0.0,7.82
Lenox Hill Hospital,7002017,,,False,,,,,,61683,8210,2668,0,3,54,482,0.0,0.37,6.58,7.81
Lewis County General Hospital,2424700,,,False,,,,,,1801,76,30,0,0,0,3,0.0,0.0,0.0,1.67
Lincoln Medical & Mental Health Center,7000008,,,False,,,,,,36406,3549,968,0,3,12,86,0.0,0.85,3.38,2.36
Little Falls Hospital,2129700,,,False,,,,,,1414,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Long Island Community Hospital,5123000,,,False,,,,,,18078,8,0,0,0,2,5,0.0,0.0,250.0,0.28
Maimonides Medical Center,7001020,,,False,,,,,,67066,12278,2897,0,6,11,207,0.0,0.49,0.9,3.09
Margaretville Hospital,1226701,,,False,,,,,,195,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mary Imogene Bassett Hospital,3824000,,,False,,,,,,18682,1963,450,0,1,24,16,0.0,0.51,12.23,0.86
Massena Hospital,4402000,,,False,,,,,,423,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Massena Hospital,4402001,,,False,,,,,,917,2,0,0,0,0,2,0.0,0.0,0.0,2.18
Medina Memorial Hospital,3622700,,,False,,,,,,398,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,0228000,,,False,,,,,,3766,724,244,0,1,0,7,0.0,1.38,0.0,1.86
Mercy Hospital,2909000,330259,ROCKVILLE CENTRE,True,TOKEN,HIGH,MERCY,CATHOLIC,False,22490,2004,687,0,1,5,59,0.0,0.5,2.5,2.62
Mercy Hospital of Buffalo,1401008,330279,BUFFALO,True,EXACT,MEDIUM,Catholic Health (Buffalo),CATHOLIC,False,34348,3519,1200,0,1,3,35,0.0,0.28,0.85,1.02
Metropolitan Hospital Center,7002021,,,False,,,,,,16003,2285,580,0,2,8,26,0.0,0.88,3.5,1.62
Mid-Hudson Valley Division of Westchester Medical Center,5957001,,,False,,,,,,67108,3403,1090,0,1,23,126,0.0,0.29,6.76,1.88
Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,7000006,,,False,,,,,,152432,9724,3072,0,9,40,383,0.0,0.93,4.11,2.51
Montefiore Mount Vernon Hospital,5903001,,,False,,,,,,5130,11,0,0,1,1,11,0.0,90.91,90.91,2.14
Montefiore New Rochelle Hospital,5904001,,,False,,,,,,11377,1257,362,0,1,2,85,0.0,0.8,1.59,7.47
Montefiore Nyack,4324000,,,False,,,,,,23571,3094,774,0,3,1,63,0.0,0.97,0.32,2.67
Mount Sinai Beth Israel,7002002,,,False,,,,,,35555,26,0,0,1,1,25,0.0,38.46,38.46,0.7
Mount Sinai Hospital,7002024,,,False,,,,,,121879,13524,3667,0,2,35,420,0.0,0.15,2.59,3.45
Mount Sinai Morningside,7002032,,,False,,,,,,83791,10800,3129,0,6,18,330,0.0,0.56,1.67,3.94
Mount Sinai South Nassau,2950001,,,False,,,,,,41730,5117,1462,0,42,13,181,0.0,8.21,2.54,4.34
Mount St. Mary's Hospital and Health Center,3121001,330188,LEWISTON,True,TOKEN,MEDIUM,Catholic Health (Buffalo),CATHOLIC,False,7671,373,120,0,0,0,5,0.0,0.0,0.0,0.65
NYU Langone Hospital-Brooklyn,7002053,,,False,,,,,,216769,27462,7809,0,12,81,574,0.0,0.44,2.95,2.65
NYU Langone Hospital-Long Island,2908000,,,False,,,,,,17451,2721,922,0,3,8,96,0.0,1.1,2.94,5.5
Nassau University Medical Center,2950002,,,False,,,,,,31143,2026,602,0,5,7,115,0.0,2.47,3.46,3.69
Nathan Littauer Hospital,1701000,,,False,,,,,,4831,628,141,0,2,1,23,0.0,3.18,1.59,4.76
New York - Presbyterian Brooklyn Methodist Hospital,7002054,,,False,,,,,,288033,42311,13415,0,52,134,723,0.0,1.23,3.17,2.51
New York - Presbyterian Brooklyn Methodist Hospital,7001021,,,False,,,,,,24900,3968,968,0,4,8,139,0.0,1.01,2.02,5.58
New York - Presbyterian Hospital,5922000,,,False,,,,,,1506,177,63,0,0,0,6,0.0,0.0,0.0,3.98
New York - Presbyterian/Queens,7003010,,,False,,,,,,56822,5283,1800,0,4,26,157,0.0,0.76,4.92,2.76
"New York Community Hospital of Brooklyn, Inc",7001008,,,False,,,,,,8600,6,0,0,0,0,0,0.0,0.0,0.0,0.0
New York Eye and Ear Infirmary of Mount Sinai,7002026,,,False,,,,,,554,0,0,0,0,0,0,0.0,0.0,0.0,0.0
NewYork-Presbyterian/Hudson Valley Hospital,5901000,,,False,,,,,,16335,1640,425,0,4,1,4,0.0,2.44,0.61,0.24
Newark-Wayne Community Hospital,5820000,,,False,,,,,,10091,1005,204,0,0,3,9,0.0,0.0,2.99,0.89
Niagara Falls Memorial Medical Center,3102000,,,False,,,,,,7444,585,245,0,0,1,3,0.0,0.0,1.71,0.4
Nicholas H. Noyes Memorial Hospital,2527000,,,False,,,,,,4692,567,122,0,0,3,11,0.0,0.0,5.29,2.34
North Central Bronx Hospital,7000024,,,False,,,,,,3906,626,162,0,7,0,5,0.0,11.18,0.0,1.28
North Shore University Hospital,2951001,,,False,,,,,,105972,13031,4297,0,8,39,266,0.0,0.61,2.99,2.51
Northern Dutchess Hospital,1327000,,,False,,,,,,12219,2079,670,0,1,8,15,0.0,0.48,3.85,1.23
Northern Westchester Hospital,5920000,,,False,,,,,,21515,4101,1471,0,1,12,73,0.0,0.24,2.93,3.39
O'Connor Hospital,1254700,,,False,,,,,,299,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Olean General Hospital,0401001,,,False,,,,,,12008,1223,376,0,10,4,11,0.0,8.18,3.27,0.92
Oneida Health Hospital,2601001,,,False,,,,,,5300,813,265,0,0,2,19,0.0,0.0,2.46,3.58
Our Lady of Lourdes Memorial Hospital,0301001,,,False,,,,,,18241,1526,412,0,0,2,14,0.0,0.0,1.31,0.77
Peconic Bay Medical Center,5155000,,,False,,,,,,20414,943,326,0,0,4,46,0.0,0.0,4.24,2.25
Phelps Hospital,5932000,,,False,,,,,,14756,1617,461,0,0,4,13,0.0,0.0,2.47,0.88
