state_code,county_fips,total_apps,originations,denials,denial_rate,denial_rate_white,denial_rate_black,denial_rate_hispanic,disparity_ratio_black,disparity_ratio_hispanic,white_apps,black_apps,hispanic_apps
OH,39033,551,442.0,109.0,0.1978,0.2004,0.3333,0.3,1.66,1.5,479.0,6.0,10.0
AL,01071,777,595.0,182.0,0.2342,0.2404,0.4,0.3158,1.66,1.31,674.0,10.0,19.0
MD,24033,11537,9402.0,2135.0,0.1851,0.1264,0.209,0.1742,1.65,1.38,2580.0,5961.0,1992.0
FL,12009,13108,11062.0,2046.0,0.1561,0.1409,0.2324,0.1669,1.65,1.18,8812.0,1067.0,1534.0
TX,48305,132,75.0,57.0,0.4318,0.4043,0.6667,0.7917,1.65,1.96,94.0,3.0,24.0
AL,01103,2076,1666.0,410.0,0.1975,0.1913,0.3152,0.2909,1.65,1.52,1568.0,165.0,110.0
IA,19127,429,379.0,50.0,0.1166,0.1214,0.2,0.1193,1.65,0.98,313.0,10.0,109.0
MN,27163,4396,3961.0,435.0,0.099,0.0898,0.1483,0.217,1.65,2.42,2841.0,290.0,212.0
OH,39015,630,532.0,98.0,0.1556,0.1512,0.25,0.125,1.65,0.83,549.0,4.0,8.0
KY,21117,3082,2725.0,357.0,0.1158,0.1036,0.1705,0.283,1.65,2.73,2461.0,88.0,106.0
KY,21101,658,519.0,139.0,0.2112,0.2023,0.3333,0.0,1.65,0.0,519.0,24.0,12.0
KY,21161,189,138.0,51.0,0.2698,0.259,0.4286,0.2,1.65,0.77,166.0,7.0,5.0
GA,13007,52,18.0,34.0,0.6538,0.5,0.8261,,1.65,,24.0,23.0,0.0
OK,40101,893,700.0,193.0,0.2161,0.1863,0.3061,0.1667,1.64,0.89,510.0,49.0,42.0
TN,47093,8438,7208.0,1230.0,0.1458,0.1397,0.2291,0.25,1.64,1.79,6435.0,323.0,372.0
GA,13225,505,385.0,120.0,0.2376,0.1942,0.3179,0.3793,1.64,1.95,206.0,173.0,29.0
PA,42069,2601,2198.0,403.0,0.1549,0.1513,0.2478,0.2492,1.64,1.65,1692.0,113.0,329.0
TN,47089,1244,922.0,322.0,0.2588,0.2612,0.4286,0.2727,1.64,1.04,1049.0,14.0,44.0
PA,42071,6835,5759.0,1076.0,0.1574,0.1505,0.2474,0.2446,1.64,1.63,5277.0,194.0,462.0
IL,17127,109,79.0,30.0,0.2752,0.2442,0.4,0.2,1.64,0.82,86.0,5.0,5.0
PA,42129,5037,4269.0,768.0,0.1525,0.1496,0.2447,0.3226,1.64,2.16,4144.0,94.0,62.0
MN,27003,5733,5105.0,628.0,0.1095,0.0946,0.155,0.2296,1.64,2.43,3648.0,516.0,379.0
TX,48405,107,48.0,59.0,0.5514,0.5128,0.8421,0.3333,1.64,0.65,78.0,19.0,3.0
LA,22083,406,216.0,190.0,0.468,0.4059,0.6667,0.0,1.64,0.0,239.0,129.0,3.0
TN,47149,6713,5913.0,800.0,0.1192,0.1073,0.1749,0.1752,1.63,1.63,4313.0,726.0,765.0
NY,36103,15595,13416.0,2179.0,0.1397,0.1252,0.2044,0.1761,1.63,1.41,10210.0,1101.0,2742.0
NY,36061,6937,5873.0,1064.0,0.1534,0.1466,0.2394,0.2111,1.63,1.44,3397.0,188.0,270.0
IN,18157,2545,2258.0,287.0,0.1128,0.1091,0.1774,0.1957,1.63,1.79,1980.0,62.0,235.0
AZ,04013,69402,59093.0,10309.0,0.1485,0.14,0.2283,0.2053,1.63,1.47,45091.0,3022.0,14397.0
KY,21037,1629,1450.0,179.0,0.1099,0.1025,0.1667,0.0455,1.63,0.44,1356.0,24.0,22.0
TX,48365,395,218.0,177.0,0.4481,0.4022,0.6557,0.561,1.63,1.39,271.0,61.0,41.0
LA,22065,65,28.0,37.0,0.5692,0.4583,0.7429,,1.62,,24.0,35.0,0.0
TX,48493,1115,802.0,313.0,0.2807,0.267,0.4324,0.3761,1.62,1.41,839.0,37.0,343.0
NC,37179,5132,4454.0,678.0,0.1321,0.1261,0.2047,0.1479,1.62,1.17,2967.0,469.0,480.0
KS,20173,8683,7418.0,1265.0,0.1457,0.1405,0.228,0.2142,1.62,1.52,5443.0,364.0,915.0
NJ,34037,2340,2032.0,308.0,0.1316,0.1238,0.2,0.1494,1.62,1.21,1664.0,95.0,308.0
PA,42017,7902,6820.0,1082.0,0.1369,0.1322,0.2143,0.1837,1.62,1.39,5757.0,196.0,332.0
PR,72007,62,41.0,21.0,0.3387,0.3091,0.5,0.3333,1.62,1.08,55.0,4.0,60.0
CT,09005,2879,2510.0,369.0,0.1282,0.1157,0.1875,0.1411,1.62,1.22,2160.0,144.0,319.0
TX,48157,15109,12700.0,2409.0,0.1594,0.1317,0.2136,0.1955,1.62,1.48,5157.0,2786.0,2844.0
LA,22113,925,674.0,251.0,0.2714,0.2613,0.4231,0.3448,1.62,1.32,574.0,130.0,29.0
PA,42089,3042,2475.0,567.0,0.1864,0.1661,0.2683,0.1746,1.62,1.05,1782.0,287.0,418.0
WA,53033,26227,22964.0,3263.0,0.1244,0.1195,0.1937,0.2035,1.62,1.7,11507.0,1012.0,1420.0
IN,18067,1485,1230.0,255.0,0.1717,0.1507,0.2436,0.1786,1.62,1.19,1188.0,78.0,56.0
KS,20209,2221,1905.0,316.0,0.1423,0.1253,0.203,0.1672,1.62,1.33,1325.0,202.0,574.0
MS,28077,246,132.0,114.0,0.4634,0.3788,0.6122,0.8,1.62,2.11,132.0,98.0,5.0
MD,24041,482,426.0,56.0,0.1162,0.0994,0.16,0.2414,1.61,2.43,352.0,25.0,29.0
TX,48415,184,126.0,58.0,0.3152,0.3099,0.5,0.3469,1.61,1.12,142.0,2.0,49.0
NC,37111,643,494.0,149.0,0.2317,0.2393,0.3846,0.2581,1.61,1.08,560.0,13.0,31.0
AZ,04027,2540,2266.0,274.0,0.1079,0.097,0.1563,0.1127,1.61,1.16,1958.0,32.0,1225.0
MS,28037,92,42.0,50.0,0.5435,0.413,0.6667,,1.61,,46.0,42.0,0.0
NM,35029,226,150.0,76.0,0.3363,0.2654,0.4286,0.3664,1.61,1.38,162.0,7.0,131.0
DE,10001,3644,2818.0,826.0,0.2267,0.1745,0.2815,0.2048,1.61,1.17,1713.0,1048.0,210.0
AL,01035,124,61.0,63.0,0.5081,0.4219,0.68,0.5,1.61,1.19,64.0,50.0,2.0
TX,48223,592,430.0,162.0,0.2736,0.2731,0.44,0.3474,1.61,1.27,443.0,25.0,95.0
TX,48167,6424,5371.0,1053.0,0.1639,0.1389,0.2235,0.2479,1.61,1.78,4284.0,434.0,1182.0
SC,45055,1547,1244.0,303.0,0.1959,0.1659,0.2654,0.2561,1.6,1.54,856.0,358.0,82.0
NY,36027,3277,2678.0,599.0,0.1828,0.1647,0.2632,0.2095,1.6,1.27,2082.0,304.0,401.0
AR,05061,156,95.0,61.0,0.391,0.2981,0.4762,0.1905,1.6,0.64,104.0,21.0,21.0
NJ,34029,9473,8074.0,1399.0,0.1477,0.1372,0.2197,0.1938,1.6,1.41,7477.0,223.0,583.0
AL,01039,527,368.0,159.0,0.3017,0.2941,0.4706,0.0,1.6,0.0,442.0,17.0,6.0
PA,42095,4119,3534.0,585.0,0.142,0.1431,0.2287,0.2245,1.6,1.57,2810.0,188.0,481.0
KY,21021,409,341.0,68.0,0.1663,0.1564,0.25,0.4286,1.6,2.74,326.0,16.0,7.0
MA,25013,5714,4900.0,814.0,0.1425,0.1277,0.2033,0.1829,1.59,1.43,3625.0,482.0,973.0
NC,37167,1577,1308.0,269.0,0.1706,0.1535,0.2448,0.1842,1.59,1.2,1075.0,241.0,114.0
DE,10003,7703,6536.0,1167.0,0.1515,0.1226,0.1946,0.2148,1.59,1.75,3794.0,1598.0,647.0
GA,13055,356,242.0,114.0,0.3202,0.2993,0.4762,0.2,1.59,0.67,284.0,21.0,10.0
FL,12031,17378,13881.0,3497.0,0.2012,0.1676,0.2661,0.2551,1.59,1.52,9098.0,3251.0,2462.0
NY,36001,3535,3046.0,489.0,0.1383,0.1384,0.2206,0.195,1.59,1.41,1980.0,272.0,159.0
CA,06037,58271,48239.0,10032.0,0.1722,0.1668,0.2649,0.2193,1.59,1.32,27058.0,2979.0,13034.0
NY,36087,3478,2891.0,587.0,0.1688,0.1538,0.2445,0.263,1.59,1.71,2347.0,229.0,384.0
VA,51005,183,147.0,36.0,0.1967,0.2102,0.3333,0.2,1.59,0.95,157.0,3.0,5.0
TX,48123,281,162.0,119.0,0.4235,0.4198,0.6667,0.5065,1.59,1.21,212.0,21.0,77.0
TX,48209,7287,5841.0,1446.0,0.1984,0.1809,0.2871,0.324,1.59,1.79,4451.0,310.0,2173.0
OH,39143,625,563.0,62.0,0.0992,0.0898,0.1429,0.06,1.59,0.67,512.0,28.0,50.0
AL,01079,646,392.0,254.0,0.3932,0.3596,0.5672,0.4348,1.58,1.21,495.0,67.0,23.0
NC,37001,3350,2771.0,579.0,0.1728,0.1504,0.237,0.2368,1.58,1.57,1961.0,654.0,418.0
GA,13063,3576,2802.0,774.0,0.2164,0.1463,0.2311,0.1365,1.58,0.93,417.0,2164.0,359.0
OR,41067,7143,6393.0,750.0,0.105,0.1043,0.1644,0.1853,1.58,1.78,3961.0,219.0,680.0
MD,24039,281,200.0,81.0,0.2883,0.2457,0.3871,0.0,1.58,0.0,175.0,62.0,7.0
FL,12113,4654,3943.0,711.0,0.1528,0.1543,0.2435,0.1801,1.58,1.17,3390.0,193.0,272.0
TX,48343,204,112.0,92.0,0.451,0.4056,0.64,0.2308,1.58,0.57,143.0,25.0,13.0
PA,42035,560,481.0,79.0,0.1411,0.1263,0.2,0.6667,1.58,5.28,467.0,5.0,3.0
AR,05123,172,104.0,68.0,0.3953,0.325,0.5139,0.3333,1.58,1.03,80.0,72.0,6.0
KY,21169,143,96.0,47.0,0.3287,0.3158,0.5,1.0,1.58,3.17,133.0,2.0,1.0
PA,42043,4069,3316.0,753.0,0.1851,0.1759,0.2783,0.2168,1.58,1.23,2337.0,424.0,309.0
CA,06059,21912,18491.0,3421.0,0.1561,0.1625,0.2571,0.2302,1.58,1.42,9306.0,175.0,2363.0
TN,47031,969,831.0,138.0,0.1424,0.1417,0.2222,0.2254,1.57,1.59,769.0,27.0,71.0
TN,47107,1071,801.0,270.0,0.2521,0.2549,0.4,0.2245,1.57,0.88,926.0,20.0,49.0
AL,01097,6310,4909.0,1401.0,0.222,0.197,0.3099,0.2512,1.57,1.28,3771.0,1336.0,203.0
VA,51177,2516,2145.0,371.0,0.1475,0.1257,0.1975,0.1851,1.57,1.47,1352.0,486.0,335.0
NY,36079,1113,948.0,165.0,0.1482,0.1464,0.2292,0.1449,1.57,0.99,772.0,48.0,214.0
MI,26025,2160,1799.0,361.0,0.1671,0.1456,0.2294,0.1127,1.57,0.77,1641.0,109.0,71.0
AL,01027,197,103.0,94.0,0.4772,0.44,0.6923,0.1429,1.57,0.32,150.0,26.0,7.0
AL,01093,403,288.0,115.0,0.2854,0.2735,0.4286,0.1538,1.57,0.56,351.0,14.0,13.0
AR,05143,4162,3660.0,502.0,0.1206,0.1144,0.1795,0.2559,1.57,2.24,3060.0,78.0,512.0
TX,48409,1107,829.0,278.0,0.2511,0.2314,0.3636,0.3276,1.57,1.42,847.0,11.0,464.0
MS,28079,215,128.0,87.0,0.4047,0.359,0.5616,0.5,1.56,1.39,117.0,73.0,4.0
FL,12063,665,367.0,298.0,0.4481,0.4059,0.6316,0.5,1.56,1.23,441.0,133.0,30.0
OH,39129,1057,901.0,156.0,0.1476,0.1364,0.2121,0.2222,1.56,1.63,836.0,33.0,27.0
AL,01049,906,676.0,230.0,0.2539,0.2471,0.3846,0.2703,1.56,1.09,773.0,13.0,74.0
NC,37157,1732,1335.0,397.0,0.2292,0.2078,0.3252,0.3028,1.56,1.46,1198.0,246.0,109.0
GA,13319,76,43.0,33.0,0.4342,0.3659,0.5714,,1.56,,41.0,21.0,0.0
GA,13311,558,463.0,95.0,0.1703,0.1833,0.2857,0.1364,1.56,0.74,442.0,7.0,22.0
CA,06017,2590,2246.0,344.0,0.1328,0.1286,0.2,0.1284,1.56,1.0,1688.0,15.0,148.0
FL,12069,10874,9192.0,1682.0,0.1547,0.1347,0.2101,0.197,1.56,1.46,7088.0,1047.0,2076.0
NM,35045,1422,990.0,432.0,0.3038,0.1833,0.2857,0.2743,1.56,1.5,731.0,7.0,237.0
TX,48469,1248,842.0,406.0,0.3253,0.3209,0.5,0.4699,1.56,1.46,910.0,62.0,449.0
VA,51179,2860,2419.0,441.0,0.1542,0.1273,0.1987,0.2022,1.56,1.59,1383.0,604.0,465.0
IN,18099,660,568.0,92.0,0.1394,0.1278,0.2,0.1786,1.56,1.4,579.0,5.0,56.0
VA,51061,1067,935.0,132.0,0.1237,0.1074,0.1667,0.2174,1.55,2.02,726.0,60.0,115.0
PA,42119,396,333.0,63.0,0.1591,0.1609,0.25,0.125,1.55,0.78,317.0,4.0,8.0
RI,44007,7960,6661.0,1299.0,0.1632,0.1463,0.2273,0.2334,1.55,1.59,5159.0,805.0,1354.0
NM,35037,54,32.0,22.0,0.4074,0.3226,0.5,0.5263,1.55,1.63,31.0,2.0,19.0
CT,09007,2493,2189.0,304.0,0.1219,0.1136,0.1765,0.1394,1.55,1.23,1875.0,102.0,165.0
ND,38035,868,795.0,73.0,0.0841,0.0809,0.125,0.0952,1.55,1.18,680.0,16.0,21.0
IN,18083,428,338.0,90.0,0.2103,0.2153,0.3333,0.0,1.55,0.0,353.0,9.0,11.0
TX,48293,318,190.0,128.0,0.4025,0.385,0.5946,0.569,1.54,1.48,213.0,37.0,58.0
TX,48457,409,190.0,219.0,0.5355,0.5189,0.8,0.3333,1.54,0.64,318.0,35.0,24.0
VA,51059,12678,11321.0,1357.0,0.107,0.0894,0.1375,0.1912,1.54,2.14,5875.0,778.0,1004.0
IL,17199,1040,878.0,162.0,0.1558,0.1558,0.24,0.2381,1.54,1.53,860.0,25.0,21.0
NC,37105,1159,963.0,196.0,0.1691,0.158,0.2432,0.2314,1.54,1.46,753.0,111.0,121.0
GA,13223,3637,3156.0,481.0,0.1323,0.1088,0.1678,0.1492,1.54,1.37,1756.0,852.0,382.0
KY,21233,173,118.0,55.0,0.3179,0.3243,0.5,0.2,1.54,0.62,148.0,4.0,5.0
MS,28013,149,86.0,63.0,0.4228,0.3617,0.5581,0.4286,1.54,1.18,94.0,43.0,7.0
CO,08013,3904,3507.0,397.0,0.1017,0.0974,0.15,0.2823,1.54,2.9,2772.0,20.0,248.0
AR,05003,313,150.0,163.0,0.5208,0.4527,0.6974,0.1111,1.54,0.25,201.0,76.0,9.0
GA,13075,244,143.0,101.0,0.4139,0.3841,0.5918,0.2,1.54,0.52,151.0,49.0,10.0
VA,51570,277,239.0,38.0,0.1372,0.1325,0.2041,0.0741,1.54,0.56,151.0,49.0,27.0
GA,13023,118,79.0,39.0,0.3305,0.3421,0.5263,0.6667,1.54,1.95,76.0,19.0,3.0
IN,18091,1667,1388.0,279.0,0.1674,0.1504,0.2319,0.2385,1.54,1.59,1356.0,69.0,109.0
GA,13071,544,323.0,221.0,0.4063,0.4092,0.6265,0.322,1.53,0.79,369.0,83.0,59.0
MS,28073,1293,1028.0,265.0,0.2049,0.1914,0.2933,0.35,1.53,1.83,857.0,208.0,20.0
IL,17007,685,564.0,121.0,0.1766,0.1481,0.2273,0.1765,1.53,1.19,513.0,22.0,170.0
OH,39093,5013,4358.0,655.0,0.1307,0.1191,0.1823,0.1869,1.53,1.57,3702.0,192.0,337.0
FL,12021,7943,6463.0,1480.0,0.1863,0.1791,0.2742,0.2476,1.53,1.38,6040.0,299.0,1482.0
KY,21147,194,110.0,84.0,0.433,0.4365,0.6667,0.0,1.53,0.0,181.0,3.0,1.0
AR,05107,115,80.0,35.0,0.3043,0.2449,0.375,,1.53,,49.0,56.0,0.0
TN,47167,1050,895.0,155.0,0.1476,0.1399,0.2143,0.1154,1.53,0.82,779.0,112.0,26.0
WV,54057,329,287.0,42.0,0.1277,0.131,0.2,0.0,1.53,0.0,290.0,5.0,3.0
NY,36045,1465,1246.0,219.0,0.1495,0.1481,0.2273,0.2154,1.53,1.45,1121.0,44.0,65.0
TX,48363,620,423.0,197.0,0.3177,0.3258,0.5,0.4146,1.53,1.27,488.0,12.0,82.0
AL,01115,1943,1521.0,422.0,0.2172,0.2025,0.3077,0.3488,1.52,1.72,1491.0,234.0,43.0
MN,27139,2323,2137.0,186.0,0.0801,0.0753,0.1148,0.1894,1.52,2.52,1660.0,122.0,132.0
NV,32003,35616,30297.0,5319.0,0.1493,0.1354,0.206,0.1871,1.52,1.38,18268.0,2626.0,7883.0
MA,25027,11022,9580.0,1442.0,0.1308,0.1206,0.1832,0.1719,1.52,1.43,6992.0,786.0,1297.0
OH,39113,7990,6900.0,1090.0,0.1364,0.1206,0.1834,0.1716,1.52,1.42,5167.0,894.0,268.0
GA,13015,2097,1806.0,291.0,0.1388,0.1286,0.1959,0.1925,1.52,1.5,1392.0,194.0,187.0
MD,24017,3437,2932.0,505.0,0.1469,0.1034,0.1571,0.1262,1.52,1.22,745.0,1859.0,309.0
FL,12103,15483,12640.0,2843.0,0.1836,0.1728,0.2635,0.2435,1.52,1.41,11220.0,501.0,1195.0
OH,39095,5551,4732.0,819.0,0.1475,0.1362,0.2067,0.206,1.52,1.51,3876.0,571.0,267.0
LA,22079,1890,1383.0,507.0,0.2683,0.2514,0.3832,0.2368,1.52,0.94,1110.0,381.0,38.0
TX,48085,23773,20806.0,2967.0,0.1248,0.1184,0.1804,0.2136,1.52,1.8,9043.0,1807.0,2111.0
PA,42007,2336,2020.0,316.0,0.1353,0.1277,0.1944,0.1282,1.52,1.0,1910.0,72.0,39.0
VA,51121,1065,902.0,163.0,0.1531,0.1652,0.25,0.1892,1.51,1.15,775.0,20.0,37.0
NM,35005,759,582.0,177.0,0.2332,0.2037,0.3077,0.263,1.51,1.29,545.0,13.0,384.0
CA,06065,30471,25317.0,5154.0,0.1691,0.1551,0.2345,0.1975,1.51,1.27,16690.0,1612.0,9919.0
NJ,34021,4024,3403.0,621.0,0.1543,0.1357,0.2053,0.1541,1.51,1.14,1754.0,487.0,558.0
TX,48161,430,238.0,192.0,0.4465,0.4331,0.6552,0.5957,1.51,1.38,284.0,58.0,47.0
FL,12123,275,163.0,112.0,0.4073,0.3839,0.5789,0.4286,1.51,1.12,224.0,19.0,14.0
AZ,04003,1738,1479.0,259.0,0.149,0.1349,0.2031,0.1941,1.51,1.44,1275.0,64.0,340.0
TX,48241,652,355.0,297.0,0.4555,0.4442,0.6714,0.8065,1.51,1.82,502.0,70.0,31.0
OK,40107,173,109.0,64.0,0.3699,0.3302,0.5,0.4167,1.51,1.26,106.0,4.0,12.0
OH,39099,3128,2617.0,511.0,0.1634,0.1456,0.2201,0.2256,1.51,1.55,2329.0,209.0,133.0
GA,13165,107,56.0,51.0,0.4766,0.4179,0.6316,0.25,1.51,0.6,67.0,19.0,4.0
MS,28029,371,212.0,159.0,0.4286,0.3631,0.5455,0.4,1.5,1.1,168.0,154.0,5.0
PR,72041,157,113.0,44.0,0.2803,0.2667,0.4,0.2857,1.5,1.07,135.0,15.0,154.0
TX,48329,4224,3141.0,1083.0,0.2564,0.2422,0.3629,0.3574,1.5,1.48,3224.0,124.0,1897.0
MS,28059,2603,2102.0,501.0,0.1925,0.1759,0.2638,0.1638,1.5,0.93,1802.0,307.0,177.0
MS,28153,273,143.0,130.0,0.4762,0.3971,0.595,0.0,1.5,0.0,136.0,121.0,2.0
KY,21119,179,60.0,119.0,0.6648,0.6687,1.0,1.0,1.5,1.5,166.0,4.0,4.0
TN,47125,5611,4944.0,667.0,0.1189,0.1122,0.168,0.1146,1.5,1.02,3386.0,762.0,506.0
FL,12075,1019,597.0,422.0,0.4141,0.3866,0.58,0.5368,1.5,1.39,732.0,100.0,136.0
NC,37003,490,376.0,114.0,0.2327,0.2228,0.3333,0.2,1.5,0.9,386.0,18.0,20.0
MS,28033,3833,3337.0,496.0,0.1294,0.1024,0.1532,0.2085,1.5,2.04,1827.0,1260.0,211.0
NY,36035,618,503.0,115.0,0.1861,0.1904,0.2857,0.2083,1.5,1.09,457.0,14.0,24.0
KY,21109,226,79.0,147.0,0.6504,0.665,1.0,0.75,1.5,1.13,203.0,1.0,4.0
AL,01015,1724,1265.0,459.0,0.2662,0.2524,0.378,0.3148,1.5,1.25,1244.0,246.0,54.0
FL,12099,22764,18103.0,4661.0,0.2048,0.185,0.2769,0.2336,1.5,1.26,14597.0,2727.0,4538.0
LA,22049,197,97.0,100.0,0.5076,0.4832,0.7241,0.0,1.5,0.0,149.0,29.0,1.0
NJ,34001,3935,3287.0,648.0,0.1647,0.1449,0.2164,0.2,1.49,1.38,2575.0,268.0,405.0
KS,20061,633,575.0,58.0,0.0916,0.0722,0.1077,0.1081,1.49,1.5,374.0,65.0,74.0
CO,08041,13955,12438.0,1517.0,0.1087,0.0996,0.1488,0.1972,1.49,1.98,9398.0,605.0,1638.0
TX,48201,56484,45277.0,11207.0,0.1984,0.1682,0.2501,0.2567,1.49,1.53,28905.0,7929.0,18120.0
AZ,04019,14694,12836.0,1858.0,0.1264,0.1162,0.1725,0.1785,1.49,1.54,10227.0,539.0,3551.0
KY,21083,440,317.0,123.0,0.2795,0.2804,0.4167,0.2,1.49,0.71,378.0,12.0,20.0
CO,08059,8930,8027.0,903.0,0.1011,0.0916,0.1364,0.2307,1.49,2.52,6767.0,66.0,672.0
GA,13193,75,37.0,38.0,0.5067,0.4412,0.6552,0.6667,1.49,1.51,34.0,29.0,3.0
KY,21235,717,358.0,359.0,0.5007,0.5037,0.75,0.3333,1.49,0.66,669.0,4.0,12.0
WI,55039,1474,1303.0,171.0,0.116,0.1127,0.1667,0.2025,1.48,1.8,1233.0,6.0,79.0
WI,55071,1033,943.0,90.0,0.0871,0.0847,0.125,0.0882,1.48,1.04,826.0,8.0,34.0
OK,40031,2002,1759.0,243.0,0.1214,0.1225,0.1809,0.1494,1.48,1.22,1118.0,188.0,174.0
GA,13073,3060,2740.0,320.0,0.1046,0.0877,0.1297,0.1579,1.48,1.8,1677.0,509.0,171.0
KY,21227,2258,1979.0,279.0,0.1236,0.1314,0.1942,0.1712,1.48,1.3,1530.0,103.0,111.0
KY,21017,292,227.0,65.0,0.2226,0.2257,0.3333,0.2,1.48,0.89,226.0,12.0,15.0
NY,36043,753,622.0,131.0,0.174,0.1685,0.25,0.4615,1.48,2.74,641.0,8.0,13.0
LA,22063,2637,2015.0,622.0,0.2359,0.2121,0.3141,0.4017,1.48,1.89,1834.0,433.0,117.0
GA,13049,170,98.0,72.0,0.4235,0.3814,0.5652,0.0,1.48,0.0,118.0,23.0,6.0
LA,22039,444,287.0,157.0,0.3536,0.3132,0.4643,0.4,1.48,1.28,281.0,112.0,5.0
FL,12067,76,45.0,31.0,0.4079,0.3871,0.5714,0.125,1.48,0.32,62.0,7.0,8.0
TX,48043,101,64.0,37.0,0.3663,0.338,0.5,0.4688,1.48,1.39,71.0,2.0,32.0
OR,41029,2807,2450.0,357.0,0.1272,0.1264,0.1875,0.1983,1.48,1.57,2065.0,16.0,232.0
FL,12047,183,92.0,91.0,0.4973,0.4444,0.6538,0.5625,1.47,1.27,99.0,52.0,16.0
TX,48213,1906,1214.0,692.0,0.3631,0.3556,0.5233,0.5655,1.47,1.59,1451.0,86.0,267.0
NC,37151,2305,1807.0,498.0,0.2161,0.2052,0.3018,0.254,1.47,1.24,1740.0,169.0,248.0
AZ,04025,4297,3689.0,608.0,0.1415,0.1364,0.2,0.2274,1.47,1.67,3278.0,20.0,299.0
TX,48339,18091,14006.0,4085.0,0.2258,0.1999,0.2935,0.3329,1.47,1.66,11418.0,1605.0,4320.0
FL,12071,19373,15743.0,3630.0,0.1874,0.1747,0.257,0.2258,1.47,1.29,14188.0,1109.0,5075.0
OR,41043,1562,1333.0,229.0,0.1466,0.1516,0.2222,0.29,1.47,1.91,1214.0,18.0,100.0
CT,09009,10980,9325.0,1655.0,0.1507,0.1334,0.1962,0.186,1.47,1.39,6265.0,1590.0,2021.0
GA,13161,183,96.0,87.0,0.4754,0.4397,0.6471,0.6316,1.47,1.44,141.0,17.0,19.0
CA,06019,8770,7253.0,1517.0,0.173,0.1612,0.2357,0.1871,1.46,1.16,4256.0,263.0,2967.0
MD,24015,1353,1165.0,188.0,0.139,0.1262,0.1846,0.0909,1.46,0.72,951.0,130.0,55.0
PR,72053,269,216.0,53.0,0.197,0.1765,0.2571,0.1897,1.46,1.08,221.0,35.0,253.0
NY,36047,10240,8189.0,2051.0,0.2003,0.1918,0.2806,0.2891,1.46,1.51,4192.0,1251.0,422.0
NY,36089,665,535.0,130.0,0.1955,0.1879,0.2727,0.1429,1.45,0.76,527.0,11.0,7.0
KY,21095,316,135.0,181.0,0.5728,0.5729,0.8333,0.5,1.45,0.87,288.0,6.0,4.0
CA,06083,2562,2164.0,398.0,0.1553,0.1591,0.2308,0.1812,1.45,1.14,1722.0,13.0,701.0
TX,48021,2891,1916.0,975.0,0.3373,0.2909,0.4217,0.468,1.45,1.61,1801.0,166.0,1158.0
TX,48397,3260,2791.0,469.0,0.1439,0.1255,0.1824,0.2314,1.45,1.84,1881.0,433.0,484.0
FL,12129,797,646.0,151.0,0.1895,0.1784,0.2581,0.1071,1.45,0.6,555.0,93.0,28.0
NY,36081,11724,9485.0,2239.0,0.191,0.1864,0.2698,0.262,1.45,1.41,2988.0,1164.0,1168.0
TX,48355,4938,4007.0,931.0,0.1885,0.1777,0.2581,0.2529,1.45,1.42,3477.0,124.0,2048.0
NC,37159,2567,2145.0,422.0,0.1644,0.1454,0.211,0.1838,1.45,1.26,1678.0,346.0,272.0
NY,36019,655,520.0,135.0,0.2061,0.2026,0.2941,0.4667,1.45,2.3,548.0,17.0,15.0
SC,45069,313,133.0,180.0,0.5751,0.4752,0.6911,0.4444,1.45,0.94,141.0,123.0,9.0
CA,06085,13021,11412.0,1609.0,0.1236,0.1434,0.2079,0.2299,1.45,1.6,2734.0,101.0,822.0
PA,42125,3191,2738.0,453.0,0.142,0.1404,0.2031,0.2174,1.45,1.55,2599.0,64.0,46.0
MO,29201,560,441.0,119.0,0.2125,0.2052,0.2973,0.4,1.45,1.95,424.0,37.0,10.0
OK,40133,300,184.0,116.0,0.3867,0.414,0.6,0.5,1.45,1.21,186.0,10.0,6.0
AL,01057,231,133.0,98.0,0.4242,0.4091,0.5909,0.25,1.44,0.61,198.0,22.0,4.0
NY,36005,3528,2612.0,916.0,0.2596,0.2123,0.3051,0.3206,1.44,1.51,914.0,826.0,758.0
GA,13155,83,40.0,43.0,0.5181,0.5,0.7222,0.2,1.44,0.4,50.0,18.0,5.0
PA,42077,4839,4076.0,763.0,0.1577,0.1403,0.202,0.2392,1.44,1.7,2994.0,297.0,1016.0
WI,55059,2164,1852.0,312.0,0.1442,0.1219,0.1754,0.2112,1.44,1.73,1707.0,57.0,232.0
MS,28043,299,225.0,74.0,0.2475,0.224,0.3235,1.0,1.44,4.47,192.0,68.0,1.0
TX,48441,2418,2091.0,327.0,0.1352,0.131,0.188,0.1672,1.44,1.28,1672.0,133.0,323.0
OR,41059,890,775.0,115.0,0.1292,0.1159,0.1667,0.1295,1.44,1.12,725.0,6.0,224.0
FL,12086,29149,21714.0,7435.0,0.2551,0.2429,0.3503,0.246,1.44,1.01,21365.0,1830.0,17960.0
NH,33011,5450,4792.0,658.0,0.1207,0.1164,0.1681,0.1807,1.44,1.55,3943.0,119.0,321.0
TX,48175,107,58.0,49.0,0.4579,0.4632,0.6667,0.5897,1.44,1.27,95.0,3.0,39.0
NY,36025,420,327.0,93.0,0.2214,0.2323,0.3333,0.2308,1.44,0.99,310.0,3.0,26.0
