state_code,county_fips,total_apps,originations,denials,denial_rate,denial_rate_white,denial_rate_black,denial_rate_hispanic,disparity_ratio_black,disparity_ratio_hispanic,white_apps,black_apps,hispanic_apps
IA,19021,190,171.0,19.0,0.1,0.0927,0.5,0.1364,5.39,1.47,151.0,4.0,66.0
PA,42123,419,345.0,74.0,0.1766,0.186,1.0,0.2,5.38,1.08,344.0,2.0,5.0
VA,51063,190,152.0,38.0,0.2,0.1871,1.0,0.25,5.34,1.34,155.0,1.0,4.0
LA,22037,284,207.0,77.0,0.2711,0.1145,0.6071,0.2,5.3,1.75,166.0,84.0,5.0
OH,39135,530,476.0,54.0,0.1019,0.0943,0.5,0.1667,5.3,1.77,477.0,2.0,6.0
MI,26137,378,341.0,37.0,0.0979,0.0951,0.5,1.0,5.26,10.52,305.0,2.0,2.0
OR,41015,272,217.0,55.0,0.2022,0.1914,1.0,0.6667,5.23,3.48,209.0,1.0,6.0
TX,48337,334,267.0,67.0,0.2006,0.1912,1.0,0.2609,5.23,1.36,272.0,1.0,23.0
GA,13059,1264,1111.0,153.0,0.121,0.0819,0.4286,0.2136,5.23,2.61,769.0,112.0,103.0
IL,17181,129,103.0,26.0,0.2016,0.1927,1.0,0.0,5.19,0.0,109.0,1.0,10.0
VA,51049,202,157.0,45.0,0.2228,0.1286,0.6667,0.0,5.19,0.0,140.0,33.0,6.0
AR,05089,246,200.0,46.0,0.187,0.194,1.0,0.3333,5.15,1.72,201.0,1.0,3.0
ID,16069,526,472.0,54.0,0.1027,0.0977,0.5,0.0833,5.12,0.85,430.0,2.0,12.0
IN,18175,476,384.0,92.0,0.1933,0.1958,1.0,0.2,5.11,1.02,424.0,1.0,5.0
NC,37029,196,167.0,29.0,0.148,0.1126,0.5714,0.0,5.08,0.0,151.0,7.0,3.0
TX,48077,164,131.0,33.0,0.2012,0.197,1.0,0.3636,5.08,1.85,132.0,1.0,11.0
MO,29123,169,129.0,40.0,0.2367,0.1986,1.0,0.25,5.04,1.26,141.0,1.0,4.0
AL,01065,289,160.0,129.0,0.4464,0.1296,0.6488,0.75,5.01,5.79,108.0,168.0,4.0
IN,18179,459,382.0,77.0,0.1678,0.1523,0.75,0.2727,4.93,1.79,394.0,4.0,11.0
LA,22089,736,527.0,209.0,0.284,0.1217,0.5991,0.3125,4.92,2.57,411.0,227.0,32.0
KS,20111,344,312.0,32.0,0.093,0.0815,0.4,0.1475,4.91,1.81,270.0,5.0,61.0
SC,45019,7658,6440.0,1218.0,0.159,0.1124,0.5512,0.3257,4.9,2.9,5534.0,586.0,304.0
WI,55087,2809,2606.0,203.0,0.0723,0.0628,0.3077,0.1263,4.9,2.01,2355.0,26.0,95.0
CA,06035,279,245.0,34.0,0.1219,0.1023,0.5,0.0556,4.89,0.54,215.0,4.0,18.0
WI,55063,1715,1602.0,113.0,0.0659,0.0634,0.3077,0.1333,4.86,2.1,1373.0,13.0,15.0
NE,31001,424,384.0,40.0,0.0943,0.1034,0.5,0.1148,4.83,1.11,348.0,2.0,61.0
MI,26029,326,257.0,69.0,0.2117,0.2077,1.0,0.0,4.81,0.0,260.0,1.0,1.0
MN,27047,370,326.0,44.0,0.1189,0.1051,0.5,0.1471,4.76,1.4,295.0,4.0,34.0
OH,39149,596,502.0,94.0,0.1577,0.1167,0.5556,0.4286,4.76,3.67,480.0,9.0,7.0
IN,18079,392,303.0,89.0,0.227,0.2149,1.0,0.6,4.65,2.79,349.0,1.0,5.0
IN,18029,698,646.0,52.0,0.0745,0.0718,0.3333,0.0,4.64,0.0,627.0,3.0,7.0
PR,72125,115,94.0,21.0,0.1826,0.1442,0.6667,0.1875,4.62,1.3,104.0,3.0,112.0
MN,27025,980,858.0,122.0,0.1245,0.1082,0.5,0.0952,4.62,0.88,767.0,6.0,21.0
KS,20087,322,265.0,57.0,0.177,0.1629,0.75,0.0,4.6,0.0,264.0,4.0,3.0
MS,28063,106,30.0,76.0,0.717,0.1667,0.7634,1.0,4.58,6.0,6.0,93.0,3.0
TX,48171,448,332.0,116.0,0.2589,0.2219,1.0,0.4658,4.51,2.1,347.0,1.0,73.0
KY,21003,407,318.0,89.0,0.2187,0.2219,1.0,0.3333,4.51,1.5,356.0,2.0,9.0
GA,13167,71,48.0,23.0,0.3239,0.1556,0.7,0.0,4.5,0.0,45.0,20.0,1.0
MS,28071,1153,968.0,185.0,0.1605,0.132,0.5862,0.2381,4.44,1.8,773.0,116.0,21.0
SC,45043,1301,961.0,340.0,0.2613,0.1652,0.7313,0.4063,4.43,2.46,890.0,201.0,32.0
MN,27093,257,236.0,21.0,0.0817,0.0752,0.3333,0.0,4.43,0.0,226.0,3.0,9.0
NE,31081,173,158.0,15.0,0.0867,0.0753,0.3333,0.0,4.42,0.0,146.0,3.0,9.0
CA,06009,768,652.0,116.0,0.151,0.1296,0.5714,0.2381,4.41,1.84,517.0,7.0,105.0
IA,19067,107,94.0,13.0,0.1215,0.1136,0.5,0.6667,4.4,5.87,88.0,2.0,3.0
GA,13219,584,522.0,62.0,0.1062,0.1038,0.4545,0.1429,4.38,1.38,424.0,11.0,7.0
PA,42121,416,348.0,68.0,0.1635,0.1733,0.75,0.0,4.33,0.0,352.0,4.0,4.0
