facility_name,facility_name_norm,state,county,facility_type,severity_score,total_penalties,total_donated,donation_count,unique_donors,unique_committees,years_active
NOR-CAL BEVERAGE CO INC.,NOR CAL BEVERAGE,CA,ORANGE,industrial,15.0,0.0,33780.0,45,14,18,"2015,2016,2017,2018,2019,2020,2022,2023"
ACTION ENVIRONMENTAL SYSTEMS LLC,ACTION ENVIRONMENTAL SYSTEMS,NY,BRONX,industrial,25.0,0.0,33780.0,181,17,18,"2015,2016,2018,2019,2020,2021,2022,2023,2024"
"THE CROSS CHURCH, INC.",THE CROSS CHURCH,LA,TERREBONNE,industrial,15.0,0.0,33768.0,176,17,16,"2016,2018,2019,2020,2021,2024"
"GPS HOSPITALITY PARTNERS IV, LLC - BURGER KING #12597",GPS HOSPITALITY PARTNERS IV BURGER KING 12597,LA,CALCASIEU,industrial,20.0,2000.0,33761.0,49,9,9,"2015,2017,2020,2021,2022,2024"
DUBLIN SCHOOL INC,DUBLIN SCHOOL,NH,CHESHIRE,water_system,10.0,0.0,33754.0,868,57,34,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SUNSET POINT RESORT,SUNSET POINT RESORT,MO,REYNOLDS,water_system,20.0,0.0,33750.0,8,6,6,"2016,2021,2022,2024"
BUCKS COUNTY COMMUNITY COLLEGE,BUCKS COUNTY COMMUNITY COLLEGE,PA,,water_system,15.0,0.0,33749.0,911,53,31,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
BAKERS RIDGE HOMEOWNERS ASSOCIATION,BAKERS RIDGE HOMEOWNERS ASSOCIATION,WV,MONONGALIA,industrial,20.0,0.0,33740.0,41,13,11,"2015,2016,2017,2018,2019,2020,2022,2023,2024"
CITY OF THREE RIVERS,CITY OF THREE RIVERS,TX,LIVE OAK,water_system,20.0,0.0,33733.0,87,20,27,"2015,2016,2017,2018,2019,2020,2024"
GRAND JUNCTION CITY OF,GRAND JUNCTION CITY OF,CO,,water_system,0.0,0.0,33706.0,133,29,33,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
JONES DAIRY FARM S/D-TREATMENT_PLT_WELL #1 JONES,JONES DAIRY FARM S D TREATMENT_PLT_WELL 1 JONES,NC,WAKE,industrial,10.0,0.0,33702.0,155,3,3,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
REETHS PUFFER-DUCK CREEK LEARNING CENTER,REETHS PUFFER DUCK CREEK LEARNING CENTER,MI,,water_system,0.0,0.0,33701.0,520,28,28,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
WOODLAND EST MOBILE HOMES,WOODLAND EST MOBILE HOMES,PA,,water_system,15.0,0.0,33701.0,23,11,6,"2016,2017,2019,2020,2021,2022,2024"
BEDFORD WATER DEPT.,BEDFORD WATER DEPT,MA,,water_system,0.0,0.0,33700.0,45,12,1,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SOUTHCOAST HOSPITALS GROUP PA,SOUTHCOAST HOSPITALS GROUP,MA,BRISTOL,industrial,10.0,0.0,33699.0,124,23,25,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CAL FIRE-DEADWOOD CONSERVATION CAMP,CAL FIRE DEADWOOD CONSERVATION CAMP,CA,SISKIYOU,water_system,10.0,0.0,33696.0,721,73,32,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
DU PONT GLASGOW SITE,DU PONT GLASGOW SITE,DE,NEW CASTLE,industrial,10.0,0.0,33690.0,66,21,11,"2015,2016,2017,2018,2019,2020,2022,2024"
ASSURANCE TECHNOLOGY CORP.,ASSURANCE TECHNOLOGY,MA,MIDDLESEX,water_system,45.0,0.0,33685.0,740,5,13,"2015,2016,2017,2018,2019,2020,2021,2023,2024"
SOMAT ENGINEERING,SOMAT ENGINEERING,MI,WAYNE,industrial,10.0,0.0,33681.0,187,12,23,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"MISSION HILL, TOWN OF",MISSION HILL TOWN OF,SD,YANKTON,industrial,10.0,0.0,33670.0,44,3,10,"2019,2020,2022,2024"
GREAT DANE LTD PARTNERS,GREAT DANE PARTNERS,TN,SHELBY,industrial,15.0,0.0,33664.0,122,9,16,"2015,2016,2018,2019,2020,2021,2022,2023,2024"
PIONEER ELEMENTARY SCHOOL AUBURN,PIONEER ELEMENTARY SCHOOL AUBURN,WA,KING,industrial,10.0,0.0,33656.0,811,69,52,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
Bear Mountain Water District,BEAR MOUNTAIN WATER DISTRICT,WA,,water_system,15.0,0.0,33655.0,50,12,14,"2015,2016,2017,2019,2020,2021,2022,2023,2024"
NEW YORK STATE POLICE TROOP K HEADQUARTERS,NEW YORK STATE POLICE TROOP K HEADQUARTERS,NY,DUTCHESS,industrial,25.0,0.0,33650.0,466,76,36,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"INTERNATIONAL MARINE & INDUSTRIAL APPLICATORS, LLC",INTERNATIONAL MARINE INDUSTRIAL APPLICATORS,HI,HONOLULU,industrial,10.0,0.0,33606.0,1136,9,28,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"CUMBERLAND LAKE SHELL, INC.",CUMBERLAND LAKE SHELL,KY,PULASKI,industrial,20.0,0.0,33600.0,9,3,3,"2015,2016,2022,2023,2024"
KEMET ELECTRONICS CORPORATION,KEMET ELECTRONICS,TX,CAMERON,industrial,20.0,0.0,33581.0,72,10,13,"2016,2018,2020,2021,2022,2023,2024"
SPRINGFIELD UTILITY BOARD,SPRINGFIELD UTILITY BOARD,OR,,water_system,15.0,0.0,33575.0,350,18,35,"2015,2016,2017,2019,2020,2021,2022,2023,2024"
COVE POINT MHP,COVE POINT MHP,VT,,water_system,0.0,0.0,33570.0,7,2,2,"2015,2024"
THE MIRIAM HOSPITAL,THE MIRIAM HOSPITAL,RI,PROVIDENCE,industrial,10.0,0.0,33560.0,622,26,32,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
LUTHER MEMORIAL LUTHERAN CHURCH,LUTHER MEMORIAL LUTHERAN CHURCH,WI,,water_system,0.0,0.0,33545.0,51,8,10,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
The Olive Branch,THE OLIVE BRANCH,MN,,water_system,15.0,0.0,33535.0,299,20,28,"2015,2016,2018,2019,2020,2021,2022,2024"
IMPACT CONFECTIONS,IMPACT CONFECTIONS,WI,ROCK,industrial,10.0,0.0,33534.0,179,4,12,"2015,2016,2017,2018,2019,2020,2021,2022,2024"
MILLER BREWING CO,MILLER BREWING,NY,OSWEGO,industrial,15.0,0.0,33522.0,322,39,21,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
MARINA HOTEL AND SUITES AT CHINCOTEAGUE,MARINA HOTEL AND SUITES AT CHINCOTEAGUE,VA,ACCOMACK COUNTY,industrial,15.0,0.0,33500.0,30,2,18,"2023,2024"
GOLD LEAF FARMING LLC,GOLD LEAF FARMING,CA,,water_system,15.0,0.0,33467.0,27,8,9,"2015,2016,2017,2020,2022,2023,2024"
SOLDOTNA COMMUNITY CONNECTIONS AND ADA IMPROVEMENTS PROJECT,SOLDOTNA COMMUNITY CONNECTIONS AND ADA IMPROVEMENTS PROJECT,AK,KENAI PENINSULA,industrial,15.0,0.0,33447.0,285,24,36,"2015,2016,2018,2019,2020,2021,2022,2023,2024"
KRAFT FOODS GROUP INC,KRAFT FOODS GROUP,MO,GREENE,industrial,10.0,0.0,33444.0,108,45,6,"2015,2016"
BILTMORE IRON & METAL CO INC,BILTMORE IRON METAL,NC,BUNCOMBE,industrial,25.0,0.0,33440.0,42,3,13,"2015,2016,2018,2020,2021,2022,2023,2024"
PETRO CAPITAL RESOURCES LLC,PETRO CAPITAL RESOURCES,CA,KERN COUNTY,industrial,20.0,9250.0,33435.0,60,19,21,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
M RESORT SPA AND CASINO-HOT WATER CHLORINE DIOXIDE,M RESORT SPA AND CASINO HOT WATER CHLORINE DIOXIDE,NV,CLARK COUNTY,industrial,35.0,0.0,33425.0,2,2,2,"2015,2021"
NEW MEXICO BEHAVIORAL HEALTH INSTITUTE OF LAS VEGAS,NEW MEXICO BEHAVIORAL HEALTH INSTITUTE OF LAS VEGAS,NM,SAN MIGUEL,industrial,10.0,0.0,33425.0,161,22,28,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
POPLAR BLUFF WATER TREATMENT PLANT,POPLAR BLUFF WATER TREATMENT PLANT,MO,BUTLER,industrial,10.0,0.0,33423.0,659,30,26,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
FOREST CITY CENTER,FOREST CITY CENTER,FL,,water_system,0.0,0.0,33415.0,62,13,16,"2015,2016,2017,2018,2019,2020,2022,2023,2024"
BROOKSTONE PARK/EAST,BROOKSTONE PARK EAST,NH,,water_system,0.0,0.0,33400.0,1,1,1,2015
MONTEREY WATER COMPANY INC.,MONTEREY WATER COMPANY,NM,,water_system,15.0,0.0,33400.0,73,3,8,"2015,2016,2019,2020,2022,2023,2024"
BASE CAMP,BASE CAMP,NY,,water_system,0.0,0.0,33392.0,99,12,32,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ANDERSON COACH SFTF,ANDERSON COACH SFTF,PA,MERCER,industrial,10.0,0.0,33383.0,25,3,6,"2020,2021,2022,2023,2024"
BARRON INDUSTRIES,BARRON INDUSTRIES,MI,,water_system,15.0,0.0,33352.0,58,11,16,"2016,2017,2018,2019,2020,2022,2024"
HOSEA O WEAVER AND SONS INC,HOSEA O WEAVER AND SONS,AL,MOBILE,industrial,25.0,24000.0,33342.0,86,10,24,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
DART CONTAINER CORPORATION,DART CONTAINER,GA,DEKALB,industrial,35.0,16400.0,33317.0,629,67,40,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
OAISD - M-TECH ED CTR,OAISD M TECH ED CTR,MI,,water_system,0.0,0.0,33316.0,1717,13,52,"2017,2018,2019,2020,2021,2022,2023,2024"
FABUWOOD CABINETRY CORPORATION,FABUWOOD CABINETRY,NJ,HUDSON,industrial,10.0,0.0,33300.0,12,3,3,"2018,2024"
"NORTHERN CONCRETE PIPE, INC.",NORTHERN CONCRETE PIPE,MI,,water_system,0.0,0.0,33299.0,103,20,38,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
CALIFORNIA STEEL INDUSTRIES INC,CALIFORNIA STEEL INDUSTRIES,CA,SAN BERNARDINO,industrial,40.0,0.0,33298.0,221,20,20,"2015,2016,2017,2018,2019,2020,2021,2022,2024"
OAKWOOD JR HIGH SCHOOL,OAKWOOD JR HIGH SCHOOL,IL,VERMILION,water_system,30.0,0.0,33281.0,233,35,24,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ROCK-TENN CO,ROCK TENN,MI,CALHOUN,industrial,30.0,0.0,33269.0,45,12,10,"2015,2016,2017,2018,2019,2020,2022"
CITY OF RISING STAR WWTP,CITY OF RISING STAR WWTP,TX,EASTLAND,industrial,35.0,21000.0,33259.0,141,7,18,"2015,2018,2020,2021,2022,2023,2024"
QUANTUM MACHINING AND DESIGN,QUANTUM MACHINING AND DESIGN,CA,,industrial,10.0,0.0,33258.0,237,15,33,"2016,2017,2019,2020,2021,2022,2023,2024"
UNIVERSITY PLACE CITY,UNIVERSITY PLACE CITY,WA,PIERCE,industrial,25.0,0.0,33256.0,512,32,39,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
US PRECISION LENS,US PRECISION LENS,OH,CLERMONT,industrial,15.0,0.0,33250.0,15,4,8,"2015,2016,2017,2018,2019,2020"
SHILOH BAPTIST CHURCH,SHILOH BAPTIST CHURCH,NC,YADKIN,both,10.0,0.0,33247.0,1116,18,28,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LOAD KING MFG,LOAD KING MFG,FL,DUVAL,industrial,10.0,0.0,33239.0,165,12,27,"2015,2016,2018,2019,2020,2021,2022,2023,2024"
EMERALD SERVICES,EMERALD SERVICES,WA,CLARK,industrial,10.0,0.0,33236.0,50,12,12,"2015,2016,2017,2018,2019,2020,2022,2023,2024"
TOP CLASS LLC,TOP CLASS,OH,ASHLAND,industrial,10.0,0.0,33233.0,187,7,11,"2015,2016,2017,2018,2019,2020,2021,2022,2023"
WRIGHT BUILDING,WRIGHT BUILDING,OH,ASHTABULA,water_system,35.0,0.0,33228.0,122,6,8,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
HERMAN MILLER INC,HERMAN MILLER,MI,ALLEGAN,industrial,15.0,0.0,33222.0,410,62,36,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SMITH & NEPHEW PERRY,SMITH NEPHEW PERRY,GA,MUSCOGEE,industrial,15.0,0.0,33221.0,526,43,57,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
BEAR VALLEY WATER COMPANY,BEAR VALLEY WATER COMPANY,CA,SAN LUIS OBISPO,water_system,15.0,0.0,33220.0,155,23,24,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SUNSET AUTO CO INC,SUNSET AUTO,MO,ST LOUIS,industrial,10.0,0.0,33204.0,5,3,4,"2018,2020,2024"
BRONSON BATTLE CREEK,BRONSON BATTLE CREEK,MI,CALHOUN,industrial,10.0,0.0,33202.0,283,20,16,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
"CHARLES BLALOCK & SONS, INC.  - CONCRETE PLANT 7",CHARLES BLALOCK SONS CONCRETE PLANT 7,TN,SEVIER,industrial,10.0,0.0,33200.0,26,9,8,"2015,2016,2017,2018,2019,2020,2021,2023"
AMERICAN METAL RECYCLING INC,AMERICAN METAL RECYCLING,CA,SAN BERNARDINO,industrial,10.0,0.0,33190.0,158,26,21,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NOTRE DAME HIGH SCHOOL-SCHOOL TP,NOTRE DAME HIGH SCHOOL SCHOOL TP,PA,NORTHAMPTON,industrial,10.0,0.0,33190.0,324,33,27,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
BECHTEL PLANT MACHINERY INC,BECHTEL PLANT MACHINERY,IN,ST JOSEPH,industrial,15.0,0.0,33181.0,2268,7,48,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
SISTERS PIZZA AND SUBS (NOW CAR DEALERSHIP),SISTERS PIZZA AND SUBS NOW CAR DEALERSHIP,WI,,water_system,0.0,0.0,33170.0,235,33,23,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PHILLIPS 66 PIPELINE LLC,PHILLIPS 66 PIPELINE,CA,KERN,industrial,25.0,0.0,33165.0,22,7,4,"2015,2016,2017,2018,2019,2020,2021,2022,2023"
TENTH STREET INDUSTRIES,TENTH STREET INDUSTRIES,TX,COLLIN,industrial,15.0,0.0,33145.0,31,9,16,"2015,2016,2017,2018,2019,2020,2022,2024"
WALLACE HILL WD #1+2,WALLACE HILL WD 1 2,NY,,water_system,0.0,0.0,33140.0,19,1,5,"2022,2023,2024"
"JONES TRUCKING, INC.",JONES TRUCKING,WV,GRANT,industrial,15.0,0.0,33138.0,397,11,21,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
KTC WARREN COUNTY MAINTENANCE & EQUIPMENT GARAGE,KTC WARREN COUNTY MAINTENANCE EQUIPMENT GARAGE,KY,WARREN,industrial,10.0,0.0,33126.0,95,8,10,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
FOOD FAIR 2,FOOD FAIR 2,NC,,water_system,0.0,0.0,33121.0,18,2,3,"2015,2016,2017,2018,2019,2020,2021,2022,2023"
"GOLD CREEK FOODS LLC. - GC3, WHITE SULPHUR RD.",GOLD CREEK FOODS GC3 WHITE SULPHUR RD,GA,HALL,industrial,25.0,0.0,33100.0,33,10,16,"2020,2021,2022,2023,2024"
MCCAIN VET LLC - COMPANION ANIMAL HOSPITAL,MCCAIN VET COMPANION ANIMAL HOSPITAL,LA,TANGIPAHOA,industrial,10.0,0.0,33099.0,143,23,22,"2016,2017,2018,2019,2020,2021,2023,2024"
BIG Y WORLD CLASS MARKET,BIG Y WORLD CLASS MARKET,CT,NEW HAVEN COUNTY,industrial,20.0,0.0,33097.0,530,42,27,"2015,2016,2018,2019,2020,2021,2022,2024"
EMPIRE MERCHANTS LLC,EMPIRE MERCHANTS,NY,KINGS,industrial,10.0,0.0,33084.0,187,27,24,"2015,2016,2017,2018,2019,2020,2021,2022,2024"
WOODLAND PARK CITY OF,WOODLAND PARK CITY OF,CO,TELLER,water_system,30.0,0.0,33080.0,312,30,30,"2015,2016,2017,2018,2019,2020,2021,2022,2024"
GRAND FORKS CITY OF,GRAND FORKS CITY OF,ND,GRAND FORKS,industrial,10.0,0.0,33076.0,364,38,34,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
UPPER CT VALLEY HOSPITAL,UPPER CT VALLEY HOSPITAL,,,industrial,15.0,0.0,33069.0,301,38,38,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
AMVAC CHEMICAL,AMVAC CHEMICAL,ID,OWYHEE,industrial,20.0,0.0,33056.0,34,9,5,"2015,2016,2017,2018,2019,2020,2021,2022,2024"
CREST HILL,CREST HILL,IL,,water_system,15.0,0.0,33046.0,44,11,13,"2016,2017,2019,2020,2024"
UNIVERSITY OF WEST FLORIDA,UNIVERSITY OF WEST FLORIDA,FL,,water_system,0.0,0.0,33044.0,583,44,34,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
KLEIN ISD TRANSPORTATION CENTER,KLEIN ISD TRANSPORTATION CENTER,TX,,water_system,0.0,0.0,33039.0,739,67,47,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
HIGH COUNTRY HORSE CAMP,HIGH COUNTRY HORSE CAMP,VA,,water_system,0.0,0.0,33032.0,18,2,10,"2018,2019,2020,2021,2024"
PORT OF LOS ANGELES BERTH 161,PORT OF LOS ANGELES BERTH 161,CA,LOS ANGELES,industrial,10.0,0.0,33016.0,54,17,19,"2015,2016,2018,2019,2020,2021,2022,2023,2024"
NORTH PARK MOBILE HOME PARK,NORTH PARK MOBILE HOME PARK,,,industrial,20.0,0.0,33010.0,144,25,30,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
A LA CARTE FOODS - PAINCOURTVILLE,A LA CARTE FOODS PAINCOURTVILLE,LA,ASSUMPTION,industrial,20.0,0.0,33008.0,17,11,8,"2015,2018,2020,2022,2023,2024"
CITY OF ANAHEIM,CITY OF ANAHEIM,CA,,water_system,0.0,0.0,32996.0,425,50,31,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
LAZY BEAR ICE CREAM-CL2 TREATMENT PLANT,LAZY BEAR ICE CREAM CL2 TREATMENT PLANT,NY,FULTON,industrial,15.0,0.0,32970.0,336,2,14,"2016,2018,2019,2020,2021,2022,2023,2024"
SHAKER HEIGHTS ASSOCIATION,SHAKER HEIGHTS ASSOCIATION,MA,,water_system,0.0,0.0,32953.0,97,26,22,"2016,2017,2018,2019,2020,2022,2023,2024"
CEDAR SQUARE MARKET,CEDAR SQUARE MARKET,NC,,water_system,0.0,0.0,32939.0,118,10,14,"2015,2016,2017,2019,2020,2021,2022,2024"
CENTRAL PRESBYTERIAN CHURCH,CENTRAL PRESBYTERIAN CHURCH,IL,,water_system,0.0,0.0,32918.0,607,60,53,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
COTTAGE INN,COTTAGE INN,NY,WAYNE,water_system,15.0,0.0,32901.0,62,9,13,"2016,2017,2018,2019,2020,2021,2022,2024"
TWIN BIRCH GOLF COURSE,TWIN BIRCH GOLF COURSE,MI,,water_system,0.0,0.0,32899.0,154,22,19,"2016,2018,2019,2020,2021,2022,2023,2024"
BADGER METER INC,BADGER METER,WI,MILWAUKEE,industrial,20.0,0.0,32881.0,256,24,24,"2015,2016,2017,2018,2019,2020,2023,2024"
THE CHILDRENS SCHOOL,THE CHILDRENS SCHOOL,CT,,water_system,15.0,0.0,32871.0,267,23,17,"2015,2016,2018,2019,2020,2021,2022,2023,2024"
THE CHARLES TOWN GENERAL HOSPITAL INC DBA JEFFERSON MEDICAL CENTER,THE CHARLES TOWN GENERAL HOSPITAL JEFFERSON MEDICAL CENTER,WV,JEFFERSON,industrial,10.0,0.0,32866.0,60,22,20,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PUBLIC SEWER EXTENSION PROJECT- CAMELOT PUMP STATION SERVICE AREA,PUBLIC SEWER EXTENSION PROJECT CAMELOT PUMP STATION SERVICE AREA,PA,DELAWARE,industrial,10.0,0.0,32861.0,100,10,14,"2015,2016,2017,2018,2019,2020,2022,2023,2024"
ONE LAKE PLACE PHASE FIVE,ONE LAKE PLACE PHASE FIVE,WA,CLARK,industrial,20.0,0.0,32858.0,129,11,13,"2015,2016,2018,2019,2020,2022,2024"
WEST RIVER DENTAL,WEST RIVER DENTAL,VT,,water_system,0.0,0.0,32856.0,944,21,25,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
CHOPTANK TRANSPORT INC.,CHOPTANK TRANSPORT,MD,,water_system,15.0,0.0,32852.0,60,6,12,"2015,2016,2017,2018,2019,2020,2021"
FLAT ROCK,FLAT ROCK,MI,WAYNE,water_system,25.0,0.0,32850.0,152,22,29,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NYC DEPT OF EDUCATION - HS 475M HEALTH PROFESSIONS HS,NYC DEPT OF EDUCATION HS 475M HEALTH PROFESSIONS HS,NY,NEW YORK,industrial,10.0,0.0,32813.0,475,58,36,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ROYAL OAK ENTERPRISES - HUNTSVILLE,ROYAL OAK ENTERPRISES HUNTSVILLE,AR,MADISON,industrial,25.0,72160.0,32809.0,58,18,24,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
TEMPUS LABS INC,TEMPUS LABS,GA,GWINNETT,industrial,10.0,0.0,32792.0,103,31,26,"2017,2018,2019,2020,2021,2022,2023,2024"
WOMEN'S CLUB OF HOMESTEAD,WOMEN S CLUB OF HOMESTEAD,FL,MIAMI-DADE,water_system,10.0,0.0,32765.0,63,18,20,"2016,2017,2019,2020,2021,2022,2023,2024"
NORTH PLANT AREA 1,NORTH PLANT AREA 1,TN,SHELBY,industrial,15.0,0.0,32760.0,196,11,22,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
ELITE RESORT AT ORANGE LAKE,ELITE RESORT AT ORANGE LAKE,FL,,water_system,0.0,0.0,32755.0,41,6,10,"2015,2016,2017,2018,2019,2020,2024"
BOYCE THOMPSON INSTITUTE,BOYCE THOMPSON INSTITUTE,NY,TOMPKINS,industrial,10.0,0.0,32752.0,286,11,34,"2016,2018,2019,2020,2022,2024"
TRADING BAY PRODUCTION FACILITY,TRADING BAY PRODUCTION FACILITY,AK,KENAI PENINSULA,industrial,10.0,0.0,32748.0,41,9,20,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
PIERCE MANUFACTURING INC,PIERCE MANUFACTURING,WI,OUTAGAMIE,industrial,30.0,0.0,32747.0,1131,64,18,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SUPERIOR ENERGY SERVICES,SUPERIOR ENERGY SERVICES,LA,LAFAYETTE,industrial,15.0,0.0,32743.0,81,20,28,"2015,2016,2017,2018,2019,2020,2022,2023,2024"
WALNUT GROVE,WALNUT GROVE,MO,GREENE,industrial,20.0,0.0,32738.0,40,17,20,"2015,2016,2017,2018,2019,2020,2021,2023,2024"
WESTERN AREA WATER SUPPLY AUTHORITY,WESTERN AREA WATER SUPPLY AUTHORITY,ND,,industrial,10.0,0.0,32718.0,738,36,34,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SULLIVAN TRAIL LAND DEVELOPMENT,SULLIVAN TRAIL LAND DEVELOPMENT,PA,NORTHAMPTON,industrial,10.0,0.0,32700.0,11,4,6,"2020,2021,2022,2023,2024"
KLEIN TOOLS INC,KLEIN TOOLS,IL,COOK,industrial,20.0,0.0,32685.0,59,9,12,"2015,2016,2020,2022,2024"
DOLLAR TREE REGIONAL DISTRIBUTION CENTER #001 - CHESAPEAKE,DOLLAR TREE REGIONAL DISTRIBUTION CENTER 001 CHESAPEAKE,VA,CHESAPEAKE CITY,industrial,10.0,0.0,32684.0,334,23,22,"2016,2018,2019,2020,2021,2022,2023,2024"
SP PLUS TRANSPORTATION,SP PLUS TRANSPORTATION,NM,BERNALILLO,industrial,10.0,0.0,32683.0,503,35,25,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
NORTHSHORE TECH COMM COLLEGE SULLIVAN CAMPUS,NORTHSHORE TECH COMM COLLEGE SULLIVAN CAMPUS,LA,WASHINGTON,industrial,10.0,0.0,32681.0,577,38,43,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SPRINGFIELD HOSPITAL,SPRINGFIELD HOSPITAL,VT,WINDSOR,industrial,10.0,0.0,32666.0,328,39,29,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
DFA DAIRY BRANDS FLUID LLC D/B/A MEADOW GOLD DAIRY,DFA DAIRY BRANDS FLUID D B A MEADOW GOLD DAIRY,CO,ARAPAHOE,industrial,10.0,0.0,32664.0,73,10,9,"2015,2016,2017,2020,2021,2022,2023,2024"
FERRARA CANDY CO,FERRARA CANDY,IL,COOK,industrial,25.0,0.0,32664.0,200,26,19,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
RED ROCK CORNER STORE,RED ROCK CORNER STORE,PA,,water_system,0.0,0.0,32650.0,32,11,12,"2016,2019,2020,2021,2022,2023,2024"
"ELECTRIC AND ELECTRONIC CONTROLS, INC.",ELECTRIC AND ELECTRONIC CONTROLS,NY,PUTNAM,water_system,15.0,0.0,32646.0,143,25,29,"2015,2016,2017,2018,2020,2021,2022,2023,2024"
TRI-COUNTY INDUSTRIAL PARK #1,TRI COUNTY INDUSTRIAL PARK 1,OR,WASHINGTON,water_system,10.0,0.0,32643.0,25,4,11,"2016,2018,2020,2021,2024"
INTERIOR/EXTERIOR BUILDING SUPPLY LP,INTERIOR EXTERIOR BUILDING SUPPLY,LA,ST. TAMMANY,industrial,10.0,0.0,32625.0,31,11,17,"2015,2016,2018,2020,2021,2022,2023,2024"
YACHT SERVICE LTD.,YACHT SERVICE,NY,SUFFOLK,industrial,10.0,0.0,32615.0,71,6,13,"2018,2020,2022,2024"
COLUMBUS ASSOCIATION,COLUMBUS ASSOCIATION,PA,,water_system,0.0,0.0,32613.0,160,31,22,"2016,2017,2018,2019,2020,2021,2022,2023,2024"
SEA VIEW,SEA VIEW,WA,,water_system,15.0,0.0,32604.0,43,10,19,"2015,2016,2017,2018,2019,2020,2022,2023"
KANAWHA EAGLE COAL COMPANIES-TREATMENT PLANT,KANAWHA EAGLE COAL COMPANIES TREATMENT PLANT,WV,KANAWHA,industrial,25.0,0.0,32604.0,139,9,17,"2015,2016,2017,2018,2019,2020,2022"
ST. PATRICK'S CHURCH,ST PATRICK S CHURCH,,,industrial,10.0,0.0,32598.0,506,31,26,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
THE RED HEN,THE RED HEN,CA,,water_system,0.0,0.0,32598.0,485,16,16,"2015,2016,2017,2018,2019,2020,2021,2022,2024"
SENIOR CARE VILLA WATER,SENIOR CARE VILLA WATER,,PLACER,industrial,15.0,0.0,32572.0,377,29,31,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
SCUA BEVERLY HILLS,SCUA BEVERLY HILLS,,,industrial,20.0,0.0,32570.0,347,31,29,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
