facility_name,facility_name_norm,state,county,facility_type,severity_score,total_penalties,total_donated,donation_count,unique_donors,unique_committees,years_active
HOWARD & SON WATER CO,HOWARD SON WATER,TX,,water_system,0.0,0.0,2100.0,7,4,3,"2017,2018,2022,2023"
SYLVAN LAKE,SYLVAN LAKE,MI,OAKLAND,water_system,10.0,0.0,2100.0,3,2,3,"2018,2020"
GOLDEN ESTATES HOMEOWNERS ASSOCIATION,GOLDEN ESTATES HOMEOWNERS ASSOCIATION,MT,LEWIS AND CLARK,water_system,10.0,0.0,2100.0,4,4,4,"2018,2020,2022"
SUN-AG MHP,SUN AG MHP,FL,,water_system,0.0,0.0,2100.0,2,2,2,"2018,2020"
MD LOGISTICS,MD LOGISTICS,IN,HENDRICKS,industrial,10.0,0.0,2100.0,10,2,4,"2018,2020"
PABCO ROOFING PRODUCTS,PABCO ROOFING PRODUCTS,WA,PIERCE,industrial,25.0,0.0,2100.0,6,1,2,"2020,2022"
"KNIGHTDALE, TOWN OF (HWY 64)",KNIGHTDALE TOWN OF HWY 64,NC,,water_system,0.0,0.0,2100.0,13,2,4,"2019,2020,2024"
LITTLETON WATER AND LIGHT,LITTLETON WATER AND LIGHT,NH,,water_system,0.0,0.0,2100.0,4,1,1,"2019,2022,2023,2024"
RIVERCREST,RIVERCREST,WA,KING COUNTY,industrial,20.0,0.0,2100.0,9,5,5,"2020,2021,2022,2024"
US CHROME CORPORATION OF FLORIDA,US CHROME OF FLORIDA,FL,DUVAL,industrial,10.0,0.0,2100.0,3,2,3,2020
ADM MILLING CO.,ADM MILLING,NY,COLUMBIA,industrial,20.0,0.0,2100.0,5,2,3,2020
ST REGIS SCHOOL  OLD BLDG,ST REGIS SCHOOL OLD BLDG,MT,,water_system,0.0,0.0,2100.0,3,2,3,2020
I405 SR 167 INTERCHANGE DIRECT CONNECT B,I405 SR 167 INTERCHANGE DIRECT CONNECT B,WA,KING COUNTY,industrial,15.0,0.0,2100.0,3,2,2,"2020,2024"
THE ROCK BAR,THE ROCK BAR,WI,,water_system,0.0,0.0,2100.0,9,4,7,"2019,2020,2022"
BAKER CANYON GREEN RECYCLING,BAKER CANYON GREEN RECYCLING,CA,ORANGE COUNTY,industrial,15.0,0.0,2100.0,3,2,2,"2020,2022,2023"
GADSDEN HIGH SCHOOL,GADSDEN HIGH SCHOOL,NM,,water_system,15.0,0.0,2100.0,3,2,3,"2020,2024"
OPTICAL CABLE CORP,OPTICAL CABLE,VA,ROANOKE CITY,industrial,10.0,0.0,2100.0,7,3,4,"2019,2022,2023,2024"
SHERRILL INDUSTRIES,SHERRILL INDUSTRIES,NC,,water_system,20.0,0.0,2100.0,21,1,2,"2021,2022"
CEDAR GROVE DISCIPLE OF CHRIST,CEDAR GROVE DISCIPLE OF CHRIST,NC,,water_system,0.0,0.0,2100.0,12,2,1,"2021,2022,2023"
GULF OIL LIMITED PARTNERSHIP,GULF OIL PARTNERSHIP,CT,NEW HAVEN COUNTY,industrial,10.0,0.0,2100.0,6,4,5,"2021,2022,2024"
CHRIST FELLOWSHIP CHURCH,CHRIST FELLOWSHIP CHURCH,IN,,water_system,0.0,0.0,2100.0,1,1,1,2022
FAY-PENN 1 SURFACE MINE,FAY PENN 1 SURFACE MINE,PA,FAYETTE COUNTY,industrial,15.0,0.0,2100.0,12,1,4,"2022,2023,2024"
COMMUNITY KIDS,COMMUNITY KIDS,ME,,water_system,0.0,0.0,2100.0,21,1,1,"2023,2024"
PETROCCO FARMS,PETROCCO FARMS,CO,,water_system,0.0,0.0,2100.0,3,2,1,"2023,2024"
PORT OF EDMONDS DRY STORAGE,PORT OF EDMONDS DRY STORAGE,WA,SNOHOMISH,industrial,25.0,0.0,2100.0,3,2,2,2024
OLE SMOKY MOUNTAIN MOONSHINE,OLE SMOKY MOUNTAIN MOONSHINE,TN,SEVIER,industrial,15.0,0.0,2100.0,1,1,1,2023
"PPC FLEX, LLC.",PPC FLEX,OH,FRANKLIN,industrial,10.0,0.0,2100.0,4,4,3,2024
GOLDEN AGE VILLAGE,GOLDEN AGE VILLAGE,MT,PARK,water_system,10.0,0.0,2099.0,36,4,6,"2016,2019,2020,2022"
GENERAL MOTORS CORP ELECTRO-MOTIVE DIV,GENERAL MOTORS ELECTRO MOTIVE DIV,FL,DUVAL,industrial,5.0,0.0,2097.0,39,2,1,"2015,2016,2018,2019,2020,2021,2022,2023,2024"
GLEN ROSE PUBLIC SCHOOL,GLEN ROSE PUBLIC SCHOOL,AR,HOT SPRING,industrial,15.0,0.0,2097.0,9,2,3,"2016,2018,2019,2020,2021,2023,2024"
CLARK RANCH FIELD,CLARK RANCH FIELD,WY,,industrial,15.0,0.0,2097.0,6,3,5,"2016,2017,2020,2022,2024"
ST FRANCIS & ST MARY PARISH,ST FRANCIS ST MARY PARISH,WI,DOOR,water_system,10.0,0.0,2097.0,99,2,4,2020
TAS ENVIRONMENTAL SERVICES LP - SAN MARCOS,TAS ENVIRONMENTAL SERVICES SAN MARCOS,TX,HAYS,industrial,15.0,0.0,2096.0,15,4,5,"2016,2018,2024"
CELEBRATIONS,CELEBRATIONS,NY,,water_system,0.0,0.0,2096.0,10,4,4,"2016,2022,2023,2024"
MODERN CONTRACT FURNITURE INC,MODERN CONTRACT FURNITURE,MA,WORCESTER,industrial,10.0,0.0,2096.0,79,3,4,"2019,2020,2024"
BKEP MATERIALS - DENVER C & K,BKEP MATERIALS DENVER C K,CO,ADAMS,industrial,25.0,0.0,2095.0,28,7,7,"2015,2018,2020,2022,2024"
Builders First Source - Office,BUILDERS FIRST SOURCE OFFICE,MN,,water_system,0.0,0.0,2095.0,16,3,6,"2015,2020,2022,2024"
CANYON SAND & GRAVEL WASH PLNT,CANYON SAND GRAVEL WASH PLNT,AZ,NAVAJO,industrial,10.0,0.0,2095.0,11,3,7,"2018,2020,2022,2023"
WEBSTER & GARNER,WEBSTER GARNER,MI,GENESEE,industrial,10.0,0.0,2095.0,17,4,6,"2020,2023,2024"
TOMBALL FORD,TOMBALL FORD,TX,,water_system,0.0,0.0,2094.0,29,6,6,"2015,2020,2021"
"TWEET GAROT MECHANICAL, INC.",TWEET GAROT MECHANICAL,WI,LINCOLN,industrial,10.0,0.0,2093.0,44,4,5,"2016,2019,2020,2024"
VALLEY SCREEN PROCESS COMPANY,VALLEY SCREEN PROCESS COMPANY,IN,ST. JOSEPH,water_system,20.0,0.0,2092.0,19,4,5,"2015,2016,2020"
STAR GROCERY,STAR GROCERY,NY,,water_system,0.0,0.0,2091.0,55,2,4,"2019,2020,2021"
THORN CREEK BASIN SD,THORN CREEK BASIN SD,IL,COOK,industrial,10.0,0.0,2091.0,26,1,3,"2020,2023,2024"
FREEDOM VILLAGE CONDOS-TREATMENT FACILITY,FREEDOM VILLAGE CONDOS TREATMENT FACILITY,NH,CARROLL,industrial,10.0,0.0,2091.0,56,6,7,"2020,2021,2024"
RC PARK & HOBBY SHOP,RC PARK HOBBY SHOP,PA,,water_system,0.0,0.0,2091.0,55,1,3,"2020,2021,2022,2024"
FIC AMERICA,FIC AMERICA,IL,DU PAGE,industrial,25.0,0.0,2090.0,20,3,6,"2015,2020,2021"
ORLEANS PARISH COMMUNICATIONS DISTRICT,ORLEANS PARISH COMMUNICATIONS DISTRICT,LA,ORLEANS,industrial,15.0,0.0,2090.0,5,2,1,"2015,2016,2017,2018"
KLONDYKE MINI MART INC.,KLONDYKE MINI MART,LA,TERREBONNE,industrial,15.0,0.0,2090.0,20,4,9,"2016,2019,2020,2022"
COASTAL CHURCH,COASTAL CHURCH,VA,CHESAPEAKE CITY,water_system,25.0,0.0,2090.0,10,3,3,"2019,2022,2023"
"NEW BEGINNINGS MINISTRIES, INC",NEW BEGINNINGS MINISTRIES,,,industrial,10.0,0.0,2090.0,14,3,7,"2020,2021,2022"
COOK-WILLOW REALTY,COOK WILLOW REALTY,CT,,water_system,15.0,0.0,2090.0,41,8,6,"2020,2021,2022,2024"
SUNRISE SUMMIT RESORT,SUNRISE SUMMIT RESORT,,ONEIDA,industrial,25.0,0.0,2089.0,21,3,3,"2020,2022,2024"
JONES WASHINGTON STEVEDORING CO UST2313,JONES WASHINGTON STEVEDORING UST2313,WA,KING,industrial,20.0,0.0,2088.0,167,4,7,"2015,2016,2019,2020,2021,2022,2023,2024"
PHILADELPHIA WATER ASSN,PHILADELPHIA WATER ASSN,MS,,water_system,0.0,0.0,2088.0,28,4,3,"2015,2020,2024"
ROSE GARDEN ESTATES INC.,ROSE GARDEN ESTATES,NY,SULLIVAN,water_system,15.0,0.0,2088.0,5,2,3,"2019,2024"
SMOKEY BEAR R S  LINCOLN  USFS,SMOKEY BEAR R S LINCOLN USFS,NM,,water_system,0.0,0.0,2087.0,6,3,3,"2016,2021"
AIR TECHNIQUES INC,AIR TECHNIQUES,NY,SUFFOLK,industrial,10.0,0.0,2087.0,25,5,9,"2016,2020,2023,2024"
CENTRAL MISS CORR FACILITY,CENTRAL MISS CORR FACILITY,MS,,water_system,15.0,0.0,2087.0,17,1,4,2024
