rank,ida_name,county,pay_to_play_score,total_projects,total_exemptions,net_exemptions,total_beneficiaries,num_donor_beneficiaries,donor_rate_pct,total_donations,donor_exemptions,avg_exemption_per_donation_dollar,num_officials_receiving,official_total_received,num_pipelines,jobs_promised,jobs_current,jobs_deficit_pct,concentration_top5_pct,pct_donor_rate,pct_official,pct_concentration,pct_jobs_deficit,pct_dollar_ratio
65,Herkimer Industrial Development Agency,Herkimer,46.65,187,47064060.54,33988840.69,53,11,20.75,32960.42,1932425.1,58.63,6,4097.58,8,12253,11761,4.02,81.0,43.2,35.9,59.2,59.2,39.8
66,Colonie Industrial Development Agency,Colonie,46.46,66,16509160.99,13741129.63,17,3,17.65,10500.0,3787689.62,360.73,1,1000.0,1,9023,7815,13.39,81.9,29.1,22.3,62.1,75.7,83.5
67,Jefferson Industrial Development Agency,Jefferson,46.46,261,27692254.69,19810534.69,51,8,15.69,97100.65,35702432.86,367.68,10,34047.15,17,8489,8047,5.21,68.62,22.3,56.3,38.8,63.1,84.5
68,Genesee County Industrial Development Agency,Genesee,46.17,611,70822165.31,51819894.67,128,24,18.75,191308.0,25927386.0,135.53,12,77970.0,19,16237,20339,0,63.78,36.4,71.8,35.9,27.2,60.2
69,Columbia Industrial Development Agency,Columbia,45.92,44,2435137.16,1431754.52,8,2,25.0,599.0,31507.0,52.6,1,100.0,1,5312,5450,0,95.43,56.8,16.5,85.4,27.2,35.9
70,Westchester County Industrial Development Agency,Westchester,45.44,513,358038781.04,149706375.04,98,22,22.45,256419.03,9899768.01,38.61,12,148951.33,32,77223,91481,0,50.67,49.5,79.6,18.4,27.2,29.1
71,Bethlehem Industrial Development Agency,Bethlehem,45.34,92,29797960.41,-7203341.59,16,2,12.5,12587.0,237358.0,18.86,2,2690.0,3,5571,2527,54.64,94.77,13.1,33.0,84.5,94.2,21.4
72,Putnam County Industrial Development Agency,Putnam,45.0,53,8426147.66,4639924.66,13,3,23.08,25000.0,1570000.26,62.8,1,2000.0,1,3727,6467,0,86.47,52.4,30.1,68.0,27.2,40.8
73,Troy Industrial Development Authority,Troy Industrial Development Authority,44.47,321,56066733.08,39732024.6,53,11,20.75,62458.03,6428615.09,102.93,6,21964.0,11,16629,13644,17.95,35.29,43.2,49.5,9.7,79.6,52.4
74,Yates County Industrial Development Agency,Yates,43.3,305,28610930.32,13409179.9,56,9,16.07,24695.13,14876508.49,602.41,9,67265.0,9,4857,6925,0,57.53,23.3,68.0,31.1,27.2,90.3
75,Orleans County Industrial Development Agency,Orleans,41.5,151,18510278.84,9284082.0,28,6,21.43,25850.0,1814810.01,70.21,3,6675.0,4,7543,9470,0,70.15,45.6,41.7,43.7,27.2,45.6
76,Chemung Industrial Development Agency,Chemung,41.17,395,66743993.97,43271581.12,75,13,17.33,343340.83,23282507.86,67.81,10,110430.0,24,23446,25666,0,54.85,28.2,77.7,24.3,27.2,43.7
77,Lewis County Industrial Development Agency,Lewis,41.02,115,42448554.03,20819157.57,24,4,16.67,13045.0,-495812.4,-38.01,2,1250.0,2,2589,2151,16.92,92.01,25.2,25.2,76.7,78.6,0.0
78,Sullivan County Industrial Development Agency,Sullivan,40.83,579,145154583.78,98262360.51,106,14,13.21,660734.67,28359883.51,42.92,6,27475.0,10,37108,29929,19.35,64.26,15.5,53.4,36.9,81.6,32.0
79,Hornell Industrial Development Agency,Hornell,39.71,122,11809538.32,6432898.56,20,4,20.0,83815.55,1353506.36,16.15,6,26300.0,6,7743,8956,0,69.93,41.3,51.5,42.7,27.2,18.4
80,Montgomery County Industrial Development Agency,Montgomery,39.22,68,45259459.22,21408252.52,13,2,15.38,3825.0,413613.14,108.13,3,800.0,3,10921,14831,0,97.81,21.4,21.4,90.3,27.2,53.4
81,Town of Montgomery Industrial Development Agency,Montgomery (Town),38.74,63,27981416.57,14102181.97,11,2,18.18,5040.0,511689.37,101.53,1,40.0,1,8306,10081,0,94.23,31.1,15.5,81.6,27.2,51.5
82,Clifton Park Industrial Development Agency,Clifton Park,37.96,97,5887283.52,4467402.47,21,3,14.29,60486.0,149486.39,2.47,3,39941.0,4,4769,4572,4.13,59.82,20.4,60.2,34.0,60.2,9.7
83,Albany City Industrial Development Agency,Albany (City),37.62,658,139923158.53,100381034.96,121,17,14.05,84184.01,21213122.51,251.99,15,98515.21,21,27517,33794,0,30.92,18.4,76.7,5.8,27.2,76.7
84,Monroe Industrial Development Agency,Monroe,37.23,3016,390577814.28,241360168.99,670,91,13.58,1776234.1,58398915.26,32.88,25,1071140.02,151,204611,262382,0,16.7,17.5,100.0,1.0,27.2,27.2
85,Warren and Washington Counties Industrial Development Agency,Warren and Washington Counties,37.18,221,37182073.37,28725199.05,44,8,18.18,43185.13,3032725.14,70.23,7,4103.16,10,7617,10264,0,73.66,31.1,36.9,49.5,27.2,46.6
86,Hudson Industrial Development Agency,Hudson,36.87,18,2768478.35,1276539.01,5,0,0.0,0.0,0,0.0,0,0.0,0,383,63,83.55,100.0,2.4,7.3,95.6,98.1,4.9
87,Cortland Industrial Development Agency,Cortland,36.6,133,12626678.84,8845556.98,22,4,18.18,10802.33,1346606.52,124.66,1,765.0,1,7230,6273,13.24,55.19,31.1,20.4,26.2,74.8,57.3
88,Chenango Industrial Development Agency,Chenango,36.46,59,12448193.1,7202869.51,16,2,12.5,2380.0,337913.0,141.98,1,2280.0,2,4105,9898,0,88.42,13.1,31.1,72.8,27.2,61.2
89,Cayuga Industrial Development Agency,Cayuga,35.41,106,18217932.52,14373143.27,26,5,19.23,5990.0,1980692.62,330.67,0,0.0,0,5493,6339,0,71.76,39.8,7.3,46.6,27.2,82.5
90,City of Rensselaer Industrial Development Agency,Rensselaer (City),35.32,34,8515034.51,6582827.71,7,0,0.0,0.0,0,0.0,0,0.0,0,448,48,89.29,95.6,2.4,7.3,86.4,100.0,4.9
91,Amherst Industrial Development Agency,Amherst,34.61,451,64683619.0,36633281.0,98,18,18.37,241340.42,13638882.46,56.51,18,56672.13,31,60300,75012,0,25.64,33.0,65.0,2.9,27.2,37.9
92,Salamanca Industrial Development Agency,Salamanca,33.23,11,86819.59,66667.78,2,0,0.0,0.0,0,0.0,0,0.0,0,112,98,12.5,100.0,2.4,7.3,95.6,73.8,4.9
93,Amsterdam Industrial Development Agency,Amsterdam,32.4,75,3462936.35,1845696.74,12,1,8.33,400.0,1122341.64,2805.85,0,0.0,0,2589,3466,0,87.55,8.7,7.3,69.9,27.2,99.0
94,St. Lawrence County Industrial Development Agency,St. Lawrence,31.84,279,13854417.15,9903971.35,64,9,14.06,28741.5,1839715.2,64.01,4,2929.91,5,7634,9529,0,70.35,19.4,35.0,44.7,27.2,42.7
95,New Rochelle Industrial Development Agency,New Rochelle,31.24,280,231273587.15,208486284.6,56,4,7.14,7250.0,7748955.49,1068.82,0,0.0,0,6580,3610,45.14,51.62,7.8,7.3,19.4,91.3,95.1
96,Guilderland Industrial Development Agency,Guilderland,30.85,49,4233546.48,4132111.53,9,0,0.0,0.0,0,0.0,0,0.0,0,2620,2002,23.59,90.23,2.4,7.3,75.7,84.5,4.9
97,Fairport Industrial Development Agency,Fairport,29.27,53,8111477.41,4447973.55,9,1,11.11,38600.0,0.0,0.0,3,6000.0,3,385,5125,0,81.39,10.7,37.9,60.2,27.2,4.9
98,Glen Cove Industrial Development Agency,Glen Cove,28.08,88,129898051.81,86362654.89,15,1,6.67,3350.0,-3973.0,-1.19,0,0.0,0,2431,2181,10.28,87.44,6.3,7.3,68.9,69.9,1.0
99,Allegany Industrial Development Agency,Allegany,27.57,115,9190364.29,7642175.07,30,2,6.67,375.0,88969.17,237.25,1,125.0,1,2045,1724,15.7,38.55,6.3,17.5,11.7,76.7,74.8
100,Wayne County Industrial Development Agency,Wayne,27.43,329,31963827.19,18785524.47,68,9,13.24,51477.0,3670168.84,71.3,3,19480.0,5,17482,23624,0,34.74,16.5,47.6,8.7,27.2,47.6
101,Tompkins County Industrial Development Agency,Tompkins,25.34,449,85389884.73,56149861.26,77,9,11.69,146688.0,7830621.78,53.38,4,1700.0,5,29828,28653,3.94,37.39,11.7,29.1,10.7,58.3,36.9
102,City of Utica Industrial Development Agency,Utica (City),23.16,283,46901246.88,37599582.88,61,10,16.39,102924.41,3685774.89,35.81,5,1165.21,6,10508,13024,0,41.31,24.3,24.3,14.6,27.2,28.2
103,Glens Falls Industrial Development Agency,Glens Falls,18.37,78,6026125.78,3411646.81,11,0,0.0,0.0,0,0.0,0,0.0,0,1137,3095,0,78.06,2.4,7.3,56.3,27.2,4.9
104,North Greenbush Industrial Development Agency,North Greenbush,7.11,15,0.0,0.0,2,0,0.0,0.0,0,0.0,0,0.0,0,410,616,0,0.0,2.4,7.3,0.0,27.2,4.9
